Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2021;2729;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;3306.33
MUNICIPIO DE NAVEGANTES;2021;2728;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;7189.07
MUNICIPIO DE NAVEGANTES;2021;2727;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;7189.07
MUNICIPIO DE NAVEGANTES;2021;2726;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;5299.90
MUNICIPIO DE NAVEGANTES;2021;2723;Ordinária;MINISTER SERV. DE VIGILANCIA LTDA - ME;8731.53
MUNICIPIO DE NAVEGANTES;2021;2722;Ordinária;LIND GUIMAR MACHADO-ME;3300.00
MUNICIPIO DE NAVEGANTES;2021;2721;Ordinária;IDPROMO COMERCIAL EIRELI;6080.00
MUNICIPIO DE NAVEGANTES;2021;2719;Ordinária;CS BRASIL FROTAS LTDA;17388.00
MUNICIPIO DE NAVEGANTES;2021;2718;Ordinária;C.R ARTEFATOS DE CIMENTO LTDA;358799.91
MUNICIPIO DE NAVEGANTES;2021;2717;Ordinária;NAIRTON PAULO KUNZLER;18690.00
MUNICIPIO DE NAVEGANTES;2021;2716;Ordinária;PJ SERVICOS E COMERCIO LTDA;11395.00
MUNICIPIO DE NAVEGANTES;2021;2715;Ordinária;JV COMERCIO DE MATERIAIS ELETRICOS E DECORACOES LT;116.90
MUNICIPIO DE NAVEGANTES;2021;2714;Ordinária;IMPERIAL COMERCIO REFORMA E REPRESENTACOES LTDA;12486.00
MUNICIPIO DE NAVEGANTES;2021;2713;Ordinária;IMPERIAL COMERCIO REFORMA E REPRESENTACOES LTDA;86730.04
MUNICIPIO DE NAVEGANTES;2021;2712;Ordinária;IMPERIAL COMERCIO REFORMA E REPRESENTACOES LTDA;18171.00
MUNICIPIO DE NAVEGANTES;2021;2711;Ordinária;SULVALE EQUIPAMENTOS EIRELI;9925.00
MUNICIPIO DE NAVEGANTES;2021;2710;Ordinária;RP COMERCIAL LTDA;567.00
MUNICIPIO DE NAVEGANTES;2021;2709;Ordinária;EQUIPAR PROTECAO INDIVIDUAL LTDA;1033.50
MUNICIPIO DE NAVEGANTES;2021;2708;Ordinária;JB COMERCIO DE INSUMOS E SUBSTRATOS LTDA;17882.00
MUNICIPIO DE NAVEGANTES;2021;2707;Ordinária;HIBISCUS ORNAMENTACOES LTDA;1599.60
MUNICIPIO DE NAVEGANTES;2021;2706;Ordinária;SITIO MORRINHOS LTDA;195190.02
MUNICIPIO DE NAVEGANTES;2021;2705;Ordinária;SITIO MORRINHOS LTDA;23400.00
MUNICIPIO DE NAVEGANTES;2021;2704;Ordinária;ENGEBV CONSTRUTORA LTDA;219293.28
MUNICIPIO DE NAVEGANTES;2021;2703;Ordinária;SCHAPPO CLIMATIZACAO LTDA;338.60
MUNICIPIO DE NAVEGANTES;2021;2702;Ordinária;JJ INSTALADORA E MANUTENCAO EIRELI;1154.60
MUNICIPIO DE NAVEGANTES;2021;2701;Ordinária;JJ INSTALADORA E MANUTENCAO EIRELI;3379.70
MUNICIPIO DE NAVEGANTES;2021;2700;Ordinária;FOOT COMERCIAL LTDA ME;3896.00
MUNICIPIO DE NAVEGANTES;2021;2699;Ordinária;KRENKE BRINQUEDOS PEDAGOGICOS LTDA;19800.00
MUNICIPIO DE NAVEGANTES;2021;2698;Ordinária;KRENKE BRINQUEDOS PEDAGOGICOS LTDA;29000.00
MUNICIPIO DE NAVEGANTES;2021;2697;Ordinária;KRENKE BRINQUEDOS PEDAGOGICOS LTDA;29000.00
MUNICIPIO DE NAVEGANTES;2021;2696;Ordinária;PLASGOMES BRINQUEDOS LTDA;11900.00
FUNDO MUNICIPAL DE SEGURANCA CONTRA INCENDIO E PANICO DE NAVEGANTES - FUMSCI;2021;2695;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;36636.66
FUNDO MUNICIPAL DE SEGURANCA CONTRA INCENDIO E PANICO DE NAVEGANTES - FUMSCI;2021;2693;Ordinária;J.T.B. TRANSPORTES E TERRAPLENAGEM LTDA - EPP;402.00
MUNICIPIO DE NAVEGANTES;2021;2692;Ordinária;LUCENA DO NASCIMENTO;1219.80
FUNDACAO MUNICIPAL DE VIGILANCIA DE NAVEGANTES;2021;2691;Ordinária;JJ INSTALADORA E MANUTENCAO EIRELI;3696.40
MUNICIPIO DE NAVEGANTES;2021;2690;Ordinária;JJ INSTALADORA E MANUTENCAO EIRELI;1813.60
MUNICIPIO DE NAVEGANTES;2021;2689;Ordinária;JJ INSTALADORA E MANUTENCAO EIRELI;1805.80
MUNICIPIO DE NAVEGANTES;2021;2688;Ordinária;LUCCA COMUNICACAO VISUAL E ESTRUTURAS EIRELI;14572.60
MUNICIPIO DE NAVEGANTES;2021;2687;Ordinária;LINCOLN FERNANDO MACHADO DE SOUZA - EIRELI;3875.13
MUNICIPIO DE NAVEGANTES;2021;2686;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;11445.33
MUNICIPIO DE NAVEGANTES;2021;2685;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;6978.00
MUNICIPIO DE NAVEGANTES;2021;2684;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;4989.00
MUNICIPIO DE NAVEGANTES;2021;2683;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;28774.32
MUNICIPIO DE NAVEGANTES;2021;2682;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;10467.00
MUNICIPIO DE NAVEGANTES;2021;2681;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;12912.66
MUNICIPIO DE NAVEGANTES;2021;2680;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;25825.32
MUNICIPIO DE NAVEGANTES;2021;2679;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;3489.00
MUNICIPIO DE NAVEGANTES;2021;2678;Ordinária;BAGATOLI INDUSTRIA E COMERCIO DE REFRIGERACAO E EL;64563.30
MUNICIPIO DE NAVEGANTES;2021;2677;Ordinária;IMPERIAL COMERCIO REFORMA E REPRESENTACOES LTDA;40380.00
MUNICIPIO DE NAVEGANTES;2021;2676;Ordinária;IMPERIAL COMERCIO REFORMA E REPRESENTACOES LTDA;117726.00
MUNICIPIO DE NAVEGANTES;2021;2675;Ordinária;ELETRICA LUZ COMERCIAL DE MATERIAIS ELETRICOS EIR;26497.00
MUNICIPIO DE NAVEGANTES;2021;2674;Ordinária;IMPERIAL COMERCIO REFORMA E REPRESENTACOES LTDA;1285.00
MUNICIPIO DE NAVEGANTES;2021;2673;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;6377.67
MUNICIPIO DE NAVEGANTES;2021;2672;Ordinária;MISERVI ADMINISTRADORA DE SERVIÇOS LTDA;73910.73
MUNICIPIO DE NAVEGANTES;2021;2671;Ordinária;RSUL EIRELI EPP;107628.44
MUNICIPIO DE NAVEGANTES;2021;2670;Ordinária;PRISCILA RAUBER HENGEMUHLE;4846.00
MUNICIPIO DE NAVEGANTES;2021;2669;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;25514.34
MUNICIPIO DE NAVEGANTES;2021;2668;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;11800.00
MUNICIPIO DE NAVEGANTES;2021;2667;Ordinária;L. MOHR EIRELI;2393.00
MUNICIPIO DE NAVEGANTES;2021;2666;Ordinária;REGIS COMERCIO DE BRINQUEDOS LTDA - ME;24842.88
MUNICIPIO DE NAVEGANTES;2021;2665;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;6984.00
MUNICIPIO DE NAVEGANTES;2021;2664;Ordinária;ISZA COMERCIO E ATACADO EIRELI;21431.58
MUNICIPIO DE NAVEGANTES;2021;2663;Ordinária;FOOT COMERCIAL LTDA ME;17820.00
MUNICIPIO DE NAVEGANTES;2021;2662;Ordinária;L. MOHR EIRELI;2777.00
MUNICIPIO DE NAVEGANTES;2021;2661;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;41650.00
MUNICIPIO DE NAVEGANTES;2021;2660;Ordinária;JOSÉ PAULO BITENCOURT ME;42480.00
MUNICIPIO DE NAVEGANTES;2021;2659;Ordinária;REGIS COMERCIO DE BRINQUEDOS LTDA - ME;65997.12
MUNICIPIO DE NAVEGANTES;2021;2658;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;574.00
MUNICIPIO DE NAVEGANTES;2021;2657;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;39275.00
MUNICIPIO DE NAVEGANTES;2021;2656;Ordinária;ISZA COMERCIO E ATACADO EIRELI;87741.42
MUNICIPIO DE NAVEGANTES;2021;2655;Ordinária;PRISCILA RAUBER HENGEMUHLE;64356.50
