contaCodigo,contaDescricao,valorOrcado
4132501990500000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Co,6756.00
4132501990600000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Es,6756.00
4132501990700000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc.- Out,6756.00
4132502990100000000,Remun. de Outros Depósitos de Rec. não Vinc. - ORD,6756.00
4160014000000000000,Serviços de Inspeção e Fiscalização,540852.00
4176199000000000000,Outras Transferências de Convênios da União,13524.00
4176299000000000000,Outras Transferências de Convênio dos Estados,60840.00
4176400000000000000,Transferência de Convênios Instituições Privadas,532500.00
4191935100000000000,Multas por ADM por Danos ao Meio Ambiente,13524.00
4199099000000000000,Outras Receitas,13524.00
4247199000000000000,Outras Transferências de Convênios da União,31944.00
4247299000000000000,Outras Transferências de Convênio dos Estados,31944.00
4247400000000000000,Transf. de Convênios de Instituições Privadas,1065000.00
4112299000000000000,Outras Taxas pela Prestação de Serviços,13524.00
4132501990600000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Es,6756.00
4132502990100000000,Remun. de Outros Depósitos de Rec. não Vinc. - ORD,6756.00
4160013030000000000,Serviços Especiais PM/Bombeiro,13524.00
4160014000000000000,Serviços de Inspeção e Fiscalização,676056.00
4199099000000000000,Outras Receitas,6756.00
4247299000000000000,Outras Transferências de Convênio dos Estados,33804.00
4175000000000000000,Transf. de Pessoas,6756.00
4132501990500000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Co,6756.00
4132501990600000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Es,6756.00
4132501990700000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc.- Out,6756.00
4132501990800000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Co,6756.00
4132502990100000000,Remun. de Outros Depósitos de Rec. não Vinc. - ORD,6756.00
4160019000000000000,Serviços Recreativos e Culturais,6756.00
4176199000000000000,Outras Transferências de Convênios da União,13524.00
4176299000000000000,Outras Transferências de Convênio dos Estados,132156.00
4176400000000000000,Transferência de Convênios Instituições Privadas,13524.00
4199099000000000000,Outras Receitas,13524.00
4247199000000000000,Outras Transferências de Convênios da União,88164.00
4247299000000000000,Outras Transferências de Convênio dos Estados,88164.00
4175000000000000000,Transf. de Pessoas,6756.00
4112126000000000000,Taxa de Publicidade Comercial,13524.00
4132501990500000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Co,13524.00
4132501990600000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Es,13524.00
4132501990700000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc.- Out,13524.00
4132501990800000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Co,13524.00
4132502990100000000,Remun. de Outros Depósitos de Rec. não Vinc. - ORD,13524.00
4133399000000000000,Outras Rec de Conc e Perm - Dir de Uso de Bens Púb,9732.00
4160019000000000000,Serviços Recreativos e Culturais,13524.00
4176199000000000000,Outras Transferências de Convênios da União,81132.00
4176299000000000000,Outras Transferências de Convênio dos Estados,81132.00
4176400000000000000,Transferência de Convênios Instituições Privadas,6756.00
4199099000000000000,Outras Receitas,13524.00
4247199000000000000,Outras Transferências de Convênios da União,485480.00
4247299000000000000,Outras Transferências de Convênio dos Estados,31956.00
4132501140000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio SU,6756.00
4132501150000000000,Rec. de Remun Dep Banc Rec Vinculado - Recurso Pró,6756.00
4132501160000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio do,6756.00
4132501170000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio da,6756.00
4132502990400000000,Remun. de Outros Depósitos de Rec. não Vinc. - Rec,6756.00
4160005010100000000,Serviços Hospitalares - DPVAT,6756.00
4160005010200000000,Serviços Hospitalares - Proc. Particulares,13524.00
4160005010300000000,Serviços Hospitalares - SUS,13524.00
4160005010400000000,Serviços Hospitalares - MAC,13524.00
4160005100000000000,Serviços Ambulatoriais,67608.00
4160005990000000000,Outros Serviços de Saúde,13524.00
4176101000000000000,Transf. de Conv. da União para o SUS,67608.00
4176201000000000000,Transf. Conv. Estados p/ SUS,67608.00
4199099000000000000,Outras Receitas,13524.00
4247199000000000000,Outras Transferências de Convênios da União,31944.00
4247299000000000000,Outras Transferências de Convênio dos Estados,331944.00
4132501100000000000,Rec de Remun Dep Banc Rec Vinculado - FNAS,6756.00
4132501110000000000,Rec. de Remun Dep Banc Rec Vinculado - PETI,6756.00
4132501120000000000,Rec. de Remun Dep Banc Rec Vinculado -Convênio Est,6756.00
4132501130000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio Un,6756.00
4132502990100000000,Remun. de Outros Depósitos de Rec. não Vinc. - ORD,6756.00
4172134010000000000,Piso Básico Fixo - CRAS,144000.00
4172134020000000000,Piso de Transição de Média Complexidade - APAE,10956.00
