contaCodigo,contaDescricao,valorOrcado
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,10000.00
4161003110000000000,"Serviços de Registro, Certificação e Fiscalização - Principal",900000.00
4171810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4172810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4191006110000000000,Multas Administrativas por Danos Ambientais - Principal,200000.00
4761003110000000000,"Serviços de Registro, Certificação e Fiscalização Intra Orçamentárias",10000.00
4112201110000000000,Taxas pela Prestação de Serviços - Principal,5000.00
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,10000.00
4161001110100000000,Serviços Administrativos e Comerciais Gerais PM Bombeiros,20000.00
4161003110000000000,"Serviços de Registro, Certificação e Fiscalização - Principal",870000.00
4199099110000000000,Outras Receitas - Primárias - Principal,10000.00
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",5000.00
4132100110134000000,Remuneração de Aplicações de Recursos Convênios União Outros,1000.00
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,500.00
4171810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4172810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4192206110000000000,Restituição de Despesas de Exercícios Anteriores - Principal,500.00
4241810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4242810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4112101110100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1000.00
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",8000.00
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4161001119900000000,Outros Serviços Administrativos e Comerciais Gerais,25000.00
4192299110000000000,Outras Restituições - Principal,1000.00
4241810910000000000,Outras Transferências de Convênios da União - Principal,10000.00
4242810910000000000,Outras Transferências de Convênio dos Estados - Principal,9000.00
4132100110133000000,Aplicação Financeira de Recursos Vinculados União Saúde,1000.00
4132100110138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,1000.00
4132100110163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,1000.00
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4163001110600000000,Serviços de Atendimento à Saúde Outros Serviços de Saúde,9000.00
4171810110000000000,Transferências de Convênios da União para o Sistema Único de Saúde  SUS - Principal,5000.00
4172810110000000000,Transferências de Convênio dos Estados para o Sistema Único de Saúde  SUS - Principal,5000.00
4199099110000000000,Outras Receitas - Primárias - Principal,9000.00
4132100110131000000,Remuneração de Aplicações de Recursos de Convênios - União/Assistência Social,2000.00
4132100110135000000,Remuneração de Aplicações de Recursos do SUAS/União,15000.00
4132100110161000000,Remuneração de Aplicações de Recursos de Convênios - Estado/Assistência Social,1000.00
4132100110165000000,Remuneração de Aplicações de Recursos do SUAS/Estado,5000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,5000.00
4171810310000000000,Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,19000.00
4171812110151000000,Piso Fixo de Média Complexidade - PAEFI,93000.00
4171812110152000000,Piso Fixo de Média Complexidade - MSE,71000.00
4171812110153000000,Piso Fixo de Média Complexidade - ABORDAGEM SOCIAL,71000.00
4171812110154000000,Piso de Transição de Média Complexidade,10000.00
4171812110155000000,Programa do Piso de Alta Complexidade I - Criança/ Adolescente,41000.00
4171812110156000000,Serviço de Convivência e Fortalecimento de Vínculos,130000.00
4171812110157000000,Piso Básico Fixo,345000.00
4171812110158000000,Programa Bolsa Família - IGDBF/SUAS,150000.00
4171812110159000000,Programa IGD/SUAS,14000.00
4171812110160000000,Programa de Ações Estratégicas do Programa de Erradicação do Trabalho Infantil,92000.00
4172807110100000000,Transferências SUAS Estado - Beneficios Eventuais,27000.00
4172807110200000000,Transferências SUAS Estado - Custeio do Abrigo Municipal,50000.00
4172807110300000000,Transferências SUAS Estado - CRAS Custeio,30000.00
4172807110400000000,Transferências SUAS Estado - CREAS Custeio,60000.00
4172807110500000000,Transferencias SUAS Estado - BENEFICIO EVENTUAL VULNERABILIDADE MOMENTANEA ESTADO - CUSTEIO,50000.00
4172810910000000000,Outras Transferências de Convênio dos Estados - Principal,21000.00
4199099110000000000,Outras Receitas - Primárias - Principal,20000.00
4241812110000000000,Transferências de Recursos do Fundo Nacional de Assistência Social  FNAS - Principal,1000.00
4242899111201000000,Transferências SUAS Estado - Abrigo Municipal Investimento,20000.00
4242899111202000000,Transferências SUAS Estado - CREAS Investimento,35000.00
