contaCodigo,contaDescricao,valorArrecadado
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,7834911.47
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,63385.51
4111801110000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,13560448.19
4111801120000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros,157524.62
4111801130000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa,2715019.00
4111801140000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros,1107925.86
4111801410000000000,Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,4663240.55
4111802310000000000,Imposto sobre Serviços de Qualquer Natureza - Principal,26749381.35
4111802320000000000,Imposto sobre Serviços de Qualquer Natureza - Multas e Juros,171305.17
4111802330000000000,Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa,455161.28
4111802340000000000,Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros,69173.94
4112101110100000000,Taxa de Fiscalização de Vigilância Sanitária,400997.55
4112101110101000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1499888.42
4112101110200000000,Taxa de Licença para Execução de Obras,1126.82
4112201110000000000,Taxas pela Prestação de Serviços - Principal,2083835.73
4113804110000000000,Contribuição de Melhoria para Pavimentação e Obras Complementares - Principal,112554.68
4121004210000000000,Contribuição do Servidor Ativo Civil para o RPPS - Principal,10446902.09
4121004310000000000,Contribuição do Servidores Inativos Civis para o RPPS - Principal,115339.80
4121004410000000000,Contribuição dos Pensionistas Civis para o RPPS - Principal,14383.32
4124000110000000000,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,6142834.04
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",132282.28
4132100110000000000,Remuneração de Depósitos Bancários - Principal,64168.97
4132100110100000000,Remuneração de Depósitos Bancários - FUNDEB - 60%,365942.61
4132100110200000000,Remuneração de Depósitos Bancários - FUNDEB - 40%,15617.69
4132100110300000000,Remuneração de Depósitos Bancários - MDE - Salário Educação,151167.88
4132100110400000000,Remuneração de Depósitos Bancários - MDE - PNATE,8913.00
4132100110500000000,Remuneração de Depósitos Bancários - MDE - PNAE,14428.49
4132100110600000000,Remuneração de Depósitos Bancários - MDE - PDDE,25719.22
4132100110700000000,Remuneração de Depósitos Bancários - MDE - Convênios Estado,20450.85
4132100110800000000,Remuneração de Depósitos Bancários - MDE - Convênios União,16785.80
4132100110900000000,Remuneração de Depósitos Bancários - CIDE,18020.83
4132100111000000000,Remuneração de Depósitos Bancários - Outros Convênios - Estado,13029.05
4132100111100000000,Remuneração de Depósitos Bancários - Outros Convênios União,24730.60
4132100111200000000,Remuneração de Depósitos Bancários - Recursos Ordinários,489670.88
4132100111300000000,Remuneração de Depósitos Bancários - COSIP,61585.72
4132100111400000000,Remuneração de Depósitos Bancários - SESAN,139631.50
