contaCodigo,contaDescricao,valorOrcado
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,8000.00
4161003110000000000,"Serviços de Registro, Certificação e Fiscalização - Principal",755000.00
4171810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4172810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4191006110000000000,Multas Administrativas por Danos Ambientais - Principal,200000.00
4761003110000000000,"Serviços de Registro, Certificação e Fiscalização Intra Orçamentárias",10000.00
4112201110000000000,Taxas pela Prestação de Serviços - Principal,16000.00
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,200.00
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,10000.00
4161001110100000000,Serviços Administrativos e Comerciais Gerais PM Bombeiros,20000.00
4161003110000000000,"Serviços de Registro, Certificação e Fiscalização - Principal",800000.00
4199099110000000000,Outras Receitas - Primárias - Principal,15000.00
4242810910000000000,Outras Transferências de Convênio dos Estados - Principal,800.00
4132100110134000000,Remuneração de Aplicações de Recursos Convênios União Outros,1000.00
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4171810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4172810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4241810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4242810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4112101110100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1000.00
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",8000.00
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4161001119900000000,Outros Serviços Administrativos e Comerciais Gerais,28000.00
4192299110000000000,Outras Restituições - Principal,1000.00
4241810910000000000,Outras Transferências de Convênios da União - Principal,49000.00
4242810910000000000,Outras Transferências de Convênio dos Estados - Principal,51000.00
4132100110133000000,Aplicação Financeira de Recursos Vinculados União Saúde,1000.00
4132100110138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,6000.00
4132100110163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,1000.00
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4163001110100000000,Serviços de Atendimento à Saúde DPVAT,9000.00
4163001110200000000,Serviços de Atendimento à Saúde Procedimentos Particulares,19000.00
4163001110300000000,Serviços de Atendimento à Saúde SUS,17000.00
4163001110400000000,Serviços de Atendimento à Saúde MAC,17000.00
4163001110500000000,Serviços de Atendimento à Saúde Serviços Ambulatoriais,10000.00
4163001110600000000,Serviços de Atendimento à Saúde Outros Serviços de Saúde,1000.00
4171810110000000000,Transferências de Convênios da União para o Sistema Único de Saúde  SUS - Principal,19000.00
4172810110000000000,Transferências de Convênio dos Estados para o Sistema Único de Saúde  SUS - Principal,5000.00
4199099110000000000,Outras Receitas - Primárias - Principal,10000.00
4241810910000000000,Outras Transferências de Convênios da União - Principal,1000.00
4242810910000000000,Outras Transferências de Convênio dos Estados - Principal,1000.00
4132100110131000000,Remuneração de Aplicações de Recursos de Convênios - União/Assistência Social,10000.00
4132100110135000000,Remuneração de Aplicações de Recursos do SUAS/União,15000.00
4132100110161000000,Remuneração de Aplicações de Recursos de Convênios - Estado/Assistência Social,1000.00
