orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,5685000.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,1785000.00
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,501000.00
2,PREFEITURA MUNICIPAL,5,Secretaria Municipal de Comunicação Social,1390000.00
2,PREFEITURA MUNICIPAL,6,Secretaria Municipal de Governo,1312444.05
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,3368281.39
2,PREFEITURA MUNICIPAL,8,Secretaria Municipal de Administração e Logística,8510000.00
2,PREFEITURA MUNICIPAL,9,Secretaria Municipal de Finanças,15734650.00
2,PREFEITURA MUNICIPAL,11,Secretaria Municipal de Assistência Social,6184000.00
2,PREFEITURA MUNICIPAL,12,Secretaria Municipal de Educação,130804568.67
2,PREFEITURA MUNICIPAL,13,"Secretaria de Meio Ambiente, Agricultura e Pesca",1945730.00
2,PREFEITURA MUNICIPAL,14,Secretaria Municipal da Segurança e Defesa Social,1652000.00
2,PREFEITURA MUNICIPAL,15,"Secretaria Municipal de Turismo, Cultura e Esporte",2520000.00
2,PREFEITURA MUNICIPAL,16,Secretaria Municipal de Obras,38842079.42
2,PREFEITURA MUNICIPAL,17,Secretaria Municipal de Gestão e Controle,960000.00
2,PREFEITURA MUNICIPAL,18,"Secretaria Municipal de Desenv,Econômico e Receita",4020000.00
2,PREFEITURA MUNICIPAL,19,"Secretaria Municipal da Criança, Adoles. e Juventu",1090000.00
2,PREFEITURA MUNICIPAL,20,Secretaria Municipal de Planejamento Urbano,2303000.00
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico,28647000.00
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,2099000.00
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,3103439.44
5,FUNDO MUNICIPAL DE SAÚDE,1,Fundo Municipal de Saúde,59568860.46
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,1,Fundação Municipal de Cultura,2495998.00
7,SECRETARIA MUNICIPAL DE GOVERNO,1,Fundo dos Direitos da Criança e Adolescente,324000.00
8,PROCURADORIA GERAL DO MUNICÍPIO,1,Procuradoria Geral do Município,455700.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,1,Instituto Ambiental de Navegantes - IAN,1700990.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,1256500.00
12,SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundação Municipal de Vigilância e Trânsito,2966900.00
13,SECRETARIA DA EDUCAÇÃO,1,Instituto de Previdência Social dos Servidores Mun,37487200.00
