contaCodigo,contaDescricao,valorArrecadado
4111303110000000000,Imposto sobre a renda - retido na fonte - trabalho - Principal,672913.84
4111303410000000000,Imposto sobre a renda - retido na fonte - outros rendimentos - Principal,545667.05
4111451110000000000,Imposto sobre serviços de qualquer natureza - issqn - Principal,287576.86
4112201010400000000,Taxa pela Prestação de Serviços de Resíduos Sólidos,1145.69
4121501110000000000,Contribuição do servidor civil ativo - Principal,2087978.48
4121501210000000000,Contribuição do servidor civil inativo - Principal,71168.89
4121501310000000000,Contribuição do servidor civil - pensionistas - Principal,2841.94
4124150010000000000,Contribuição para o custeio do serviço de iluminação pública - Principal,808830.42
4132101110101000000,903 - CAIXA ALIANÇA TP FI RF CURTO PRAZO (Administração),23801.92
4132101110109000000,Remuneração de Aplicações de Recursos FIA Imposto de Renda,56692.49
4132101110165000000,Remuneração de Aplicações de Recursos do SUAS/Estado,1348.14
4132101110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,778.93
4132101110299000000,Remuneração de Aplicações de Recursos não Vinculados,531.85
4132104010110000000,123 - BANRISUL AUTOMÁTICO FI RENDA FIXA CURTO PRAZO,113631.11
4132104010132000000,204 - CAIXA ALIANÇA TP FI RF CURTO PRAZO (Previdenciário 191),108115.71
4132104010228000000,591 - BANRISUL IT NOW IBOV CI - BOVV11,27321.00
4132104010303000000,(797) BTG HOSPITALIDADE RETORNO TOTAL RES LIM FII,12061.44
4132104010304000000,Remuneração dos Recursos do RPPS - Fundo Imobiliário,4352.90
4161101010100000000,Serviços Administrativos e Comerciais Gerais PM Bombeiros,110861.78
4161101010300000000,"Serviços de Captação, Adução, Tratamento, Reserva e Distribuição de Água",4702493.29
4171151110000000000,Cota-parte do fundo de participação dos municípios - cota mensal - Principal,6910789.52
4171152010000000000,Cota-parte do imposto sobre a propriedade territorial rural - Principal,157.04
4171155010000000000,"Cota-parte do imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários - comercialização do ouro - Principal",5399.02
4171252410000000000,Cota-parte do fundo especial do petróleo - fep - Principal,100604.64
4171350110900000000,FAEC - Redução das filas de cirurgias (ELETIVAS),94247.30
4171350111800000000,Transferências de Recursos SUS - Atenção Primária - Agentes Comunitárias de Saúde,233424.00
4171350112100000000,Incentivo Financeiro da APS - Atenção à Saúde Bucal,107318.88
4171350112300000000,Incentivo Financeiro da APS - Equipes de Saúde da Família/ESF e Equipes de Atenção Primária/EAP,631578.00
4171350210200000000,Serviço de Atendimento Móvel de Urgência - SAMU - Federal,28494.70
4171350210300000000,Recurso da Média e Alta Complexidade Ambulatorial - MAC - Federal,375735.15
4171350310100000000,Incentivo Financeiro aos Municípios para a Vigilância Em Saúde - Despesas Diversas,18252.38
4171350310500000000,Transferências aos Entes Federativos Para o Pagamento dos Vencimentos dos Agentes de Combate as Endemias,55114.00
4171350410300000000,Recursos Financ. a Transferir as Secretarias de Saúde Mun. Est. e do DF Para a Qualif. da Assist. Farmacêutica - Qualifar - SUS,6000.00
4171350410400000000,"Recursos Financeiros a Transferir Para Aquisição Pelas Secretarias de Saúde Dos Estados, Municípios e do Distrito Federal",64753.20
4171450010000000000,Transferências do salário-educação - Principal,1611221.71
4171650010103000000,Índice de Gestão Descentralizada - IGDBF,12063.40
4171999010000000000,Outras transferências de recursos da união e de suas entidades - Principal,24504.79
4172150010000000000,Cota-parte do ICMS - Principal,14366552.84
4172151010000000000,Cota-parte do IPVA - Principal,1413429.05
4172152010000000000,Cota-parte do IPI - municípios - Principal,140889.77
4172153010000000000,Cota-parte da contribuição de intervenção no domínio econômico - Principal,25557.02
4172350010500000000,Recurso Farmácia Básica - Estadual,45639.26
4172451010000000000,Transferências de convênios dos estados destinadas a programas de educação - Principal,60758.14
4174199010000000000,Outras transferências de instituições privadas - Principal,245.98
4175150010000000000,Transferências de recursos do fundo de manutenção e desenvolvimento da educação básica e de valorização dos profissionais da educação - FUNDEB - Principal,14974737.59
4191101011000000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Militar,50429.76
4191101011100000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Civil,50429.76
4191101011200000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Prefeitura,164884.17
4192206410000000000,Restituição de despesas financeiras de exercícios anteriores - Principal,20121.95
4192299010000000000,Outras restituições - Principal,16345.54
4192399010000000000,Outros ressarcimentos - Principal,2266.95
4199903010000000000,Compensações financeiras entre os regimes de previdência - Principal,469277.31
4199999110000000000,Outras receitas administradas pela rfb - Principal,518.40
4721502110000000000,Contribuição patronal - servidor civil ativo - Principal,2734246.54
4721550110000000000,Contribuição patronal - servidor civil - inativo - Principal,468895.67
4721550210000000000,Contribuição patronal - servidor civil - pensionistas - Principal,70771.81
4799901010000000000,Aportes periódicos para amortização de déficit atuarial do regimes próprios de previdência e sistema de proteção social - Principal,351955.63
9111250010000000002,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,-539.72
9111253010000000002,Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,-12292.76
9161101010300000002,"(D) Serviços de Captação, Adução, Tratamento, Reserva e Distribuição de Água",-580.00
9171151110000000004,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal - FUNDEB,-1382157.86
9171152010000000004,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal - FUNDEB,-31.40
9172150010000000004,Cota-Parte do ICMS - Principal - FUNDEB,-2873310.46
9172151010000000004,Cota-Parte do IPVA - Principal - FUNDEB,-282685.71
9172152010000000004,Cota-Parte do IPI - Municípios - Principal - FUNDEB,-28177.95
