contaCodigo,contaDescricao,valorArrecadado
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,12070061.11
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,86574.34
4111801110000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,16526812.95
4111801120000000000,Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,87202.61
4111801130000000000,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,3317654.51
4111801140000000000,Dívida Ativa - Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,1088426.53
4111801410000000000,Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,7212684.25
4111801420000000000,Imposto sobre Transmissão de Bens Imóveis - Multas e Juros,22.78
4111801430000000000,Imposto sobre Transmissão de Bens Imóveis - Dívida Ativa,8681.29
4111801440000000000,Imposto sobre Transmissão de Bens Imóveis - Dívida Ativa/Multas e Juros,444.39
4111802310000000000,Imposto sobre Serviços de Qualquer Natureza - Principal,32998371.34
4111802320000000000,Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,191216.60
4111802330000000000,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza,780859.53
4111802340000000000,Dívida Ativa - Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,98198.47
4112101110100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1444251.50
4112101110200000000,Taxa de Licença para Execução de Obras,387907.01
4112101110400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",6145.35
4112201110000000000,Taxas pela Prestação de Serviços - Principal,430.50
4112201110100000000,Taxas pela Prestação de Serviços - Expediente,164433.59
4112201119900000000,Outras Taxas pela Prestação de Serviços,297634.51
4112801110100000000,Taxa de Fiscalização de Vigilância Sanitária,238231.11
4121004210000000000,Contribuição do Servidor Ativo Civil para o RPPS - Principal,13954204.53
4121004310000000000,Contribuição do Servidor Inativo para o RPPS - Principal,261782.71
4121004410000000000,Contribuição do Pensionista para o RPPS - Principal,23383.41
4124000110000000000,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,6741869.16
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",87968.00
4132100110107000000,Remuneração de Aplicações de Recursos CIDE,2331.86
4132100110108000000,Remuneração de Aplicações de Recursos COSIP,44846.15
4132100110111000000,Remuneração de Aplicações de Recursos Convênio Polícia Civil,639.16
4132100110112000000,Remuneração de Aplicações de Recursos Convênio Trânsito Prefeitura,3889.97
4132100110118000000,Remuneração de Aplicações de Recursos FUNDEB,20984.70
4132100110132000000,Remuneração de Aplicações de Recursos Convênios União Educação,1170.18
4132100110133000000,Aplicação Financeira de Recursos Vinculados União Saúde,138.33
