contaCodigo,contaDescricao,valorArrecadado
4111250010000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,31138648.08
4111250020000000000,Multas e Juros de Mora - Imposto sobre a Propriedade Predial e Territorial Urbana,613567.58
4111250030000000000,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,3963567.58
4111250040000000000,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,2164086.48
4111253010000000000,Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,22967521.02
4111253020000000000,Multas e Juros de Mora -  Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,8967.14
4111253030000000000,Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,184880.19
4111253040000000000,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,315.77
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,25605020.10
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,5201264.42
4111451110000000000,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal,88241133.44
4111451120000000000,Multas e Juros de Mora - Imposto sobre Serviços de Qualquer Natureza - ISSQN,551320.56
4111451130000000000,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN,757499.41
4111451140000000000,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN,440230.68
4112101010100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",2178345.12
4112101010200000000,Taxa de Licença para Execução de Obras,160241.76
4112101010400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",9136.85
4112101020000000000,"Multas e Juros - Taxas de Inspeção, Controle e Fiscalização",724.61
4112101030000000000,"Dívida Ativa - Taxas de Inspeção, Controle e Fiscalização",931.20
4112101040000000000,"Dívida Ativa - Multas e Juros - Taxas de Inspeção, Controle e Fiscalização",857.19
4112150010100000000,Taxa de Fiscalização de Vigilância Sanitária,496032.74
4112150020000000000,Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros de Mora,289.99
4112201010100000000,Taxas pela Prestação de Serviços - Expediente,693489.16
4112201010400000000,Taxa pela Prestação de Serviços de Resíduos Sólidos,14007932.79
4112201019900000000,Outras Taxas pela Prestação de Serviços,994892.09
4121501110000000000,Contribuição do Servidor Civil Ativo - Principal,25541669.80
4121501210000000000,Contribuição do Servidor Civil Inativo - Principal,807682.96
4121501310000000000,Contribuição do Servidor Civil - Pensionistas - Principal,36194.60
4124150010000000000,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,9218067.51
4131102010000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos",383003.00
4131199010000000000,Outras Receitas Imobiliárias - Principal,48463.93
4132101010107000000,Remuneração de Aplicações de Recursos CIDE,8881.01
4132101010108000000,Remuneração de Aplicações de Recursos COSIP,548340.25
4132101010109000000,Remuneração de Aplicações de Recursos FIA Imposto de Renda,384323.58
4132101010110000000,Remuneração de Aplicações de Recursos Convênio Polícia Militar,5990.91
4132101010111000000,Remuneração de Aplicações de Recursos Convênio Polícia Civil,61114.04
4132101010112000000,Remuneração de Aplicações de Recursos Convênio Trânsito Prefeitura,102506.83
4132101010118000000,Remuneração de Aplicações de Recursos FUNDEB,1305297.42
4132101010132000000,Remuneração de Aplicações de Recursos Convênios União Educação,20.16
4132101010134000000,Remuneração de Aplicações de Recursos Convênios União Outros,156182.88
4132101010135000000,Remuneração de Aplicações de Recursos do SUAS/União,197751.57
4132101010136000000,Remuneração de Aplicações de Recursos SALARIO EDUCAÇÃO,348297.55
4132101010137040000,Remuneração de Aplicações de Outras Transferências do FNDE,320668.95
4132101010138010000,Aplicação Financeira Bloco Atenção Básica,534672.27
4132101010138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,60492.51
4132101010138030000,Aplicação Financeira Bloco Vigilância em Saúde,2882.67
4132101010138060000,Aplicação SUS Complementação Pagamentos aos Enfermeiros,24911.65
4132101010139000000,Remuneração de Aplicações de Recursos Fundo Especial do Petróleo e Transferências Decorrentes de Compensação Financeira pela Exploração de Recursos Na,218301.68
4132101010143000000,Remuneração de Aplicações de Recursos PNAE,37156.92
4132101010144000000,Remuneração de Aplicações de Recursos PNATE,3052.80
4132101010162000000,Remuneração de Aplicações de Recursos Convênios Estado Educação,24429.43
4132101010163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,20587.66
4132101010164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,130019.60
4132101010165000000,Remuneração de Aplicações de Recursos do SUAS/Estado,86174.19
4132101010167000000,Aplicação Financeira de Recursos Vinculados SUS Estado,111069.16
4132101010179000000,Remuneração de Aplicações de Emendas Parlamentares Impositivas - Transferências do Estado,193469.60
4132101010183000000,Remuneração de Aplicações de Recursos Operações de Crédito,1602914.70
4132101010189000000,Remuneração de Aplicações de Alienação de Bens Móveis e Semoventes,21357.10
4132101010204000000,Remuneração de Aplicações de Recursos SESAN,1723685.17
