contaCodigo,contaDescricao,valorOrcado
4172134180000000000,Ações Estratégicas do Programa de Erradicação do Trabalho Infantil,288000.00
4172299010000000000,Transferência Abrigo - Custeio,45619.00
4172299020000000000,CRAS ESTADO - Custeio,17760.00
4172299030000000000,CREAS ESTADO - Custeio,48576.00
4176103000000000000,Transf. de Conv. da União Destin. Progr Assist Soc,31944.00
4176299000000000000,Outras Transferências de Convênio dos Estados,31944.00
4199099000000000000,Outras Receitas,7200.00
4242299010000000000,Transferência Abrigo - Investimento,30412.00
4242299020000000000,CREAS ESTADO - Investimento,32388.00
4242299030000000000,CRAS ESTADO - Investimento,20000.00
4247199030000000000,Outras Transferências de Convênios da União,31944.00
4247299020000000000,Outras Transferências de Convênio da União - PETI,31944.00
4132501180000000000,Rec. de Rem. de Dep. Bancário - Rec. Vinculado - Diretamente Arrecadado,7200.00
4132501990900000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Po,7200.00
4132501991000000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Po,7200.00
4132501991100000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - PM,7200.00
4132502990500000000,Rec. de Rem. de  Dep. Bancários - Recursos não Vinculados - Ordinários - Diretamente Arracadados,7200.00
4160099000000000000,Outros Serviços,14400.00
4191915010000000000,Multas Previstas na Legislação de Trânsito - Civil,481680.00
4191915020000000000,Multas Previstas na Legislação de Trânsito - PMN,966720.00
4191915030000000000,Multas Previstas na Legislação de Trânsito - Milit,481680.00
4191915040000000000,Penalidades do Transporte Público,7200.00
4199099000000000000,Outras Receitas,14400.00
4791915010000000000,Receitas Intra-Orçamentária - Multas Previstas na Legislação de Trânsito - Civil,7200.00
4791915020000000000,Receitas Intra-Orçamentária - Multas Previstas na Legislação de Trânsito - PMN,7200.00
4791915030000000000,Receitas Intra-Orçamentária - Multas Previstas na Legislação de Trânsito - Militar,7200.00
4112117000000000000,Taxa de Fiscalização de Vigilância Sanitária,355768.00
4132501030100000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Atenção Bás,14400.00
4132501030200000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Atenção de,14400.00
4132501030300000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Vigilância,14400.00
4132501030400000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Assistência,14400.00
4132501030500000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Gestão do S,14400.00
4132501030600000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - SUS União,32460.00
4132501030700000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - SUS Estado,59496.00
4132501030800000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Recurso Pró,14400.00
4132501060000000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - ASPS,14400.00
4132501200000000000,Rec. de Remun Dep Banc Rec Vinculado - SUS ESTADO,14400.00
4172133010000000000,Recurso Piso de Atenção Básica -  PAB Fixo - Feder,1530336.00
4172133020000000000,Recurso Programa Saúde da Familia - PSF - Federal,709560.00
4172133030000000000,Recurso Programa Agente Comunitário de Saúde - PAC,778752.00
4172133050000000000,Recurso Saúde Bucal - PSF ODONTO - Federal,347880.00
4172133070000000000,Recurso Vigilância Epidemiológica - Federal,209111.00
4172133080000000000,Incentivo Programa Nacional de HIV/AIDS e DST - Fe,94008.00
4172133090000000000,Transf. Recursos SUS - Hospital,90000.00
4172133100000000000,Serviço de Atendimento Móvel de Urgência-SAMU-Fed,263028.00
4172133110000000000,Atenção Básica,13524.00
4172133120000000000,Recurso da média e alta complexidade Vigilância Sa,194028.00
4172133160000000000,Recurso da Média e Alta Complexidade Ambulatorial,2645364.00
4172133170000000000,Recurso do Núcleo de Apoio à Saúde da Família - NA,240000.00
4172133180000000000,Recurso Farmácia Básica - Federal,317160.00
4172133190000000000,Gestão de Políticas de Saúde - Federal,84504.00
4172133270000000000,Recurso Programa Saúde na Escola - PSE - Federal,146400.00
4172133290000000000,Recurso Centro de Atendimento Psicossocial - CAPS,339660.00
4172133300000000000,Recurso do Centro de Referência da Mulher,67608.00
4172133310000000000,Centro de Especialidades Odontolog - CEO - Federal,118800.00
4172133380000000000,Programa de Melhoria do Acesso e da Qualidade - PMAQ,950400.00
4172133390000000000,FAEC SAI - Mamografia para Rastreamento,96660.00
4172133400000000000,Rede Brasil sem Miseria,60000.00
4172133410000000000,Rede Cegonha,254280.00
4172299010000000000,Transferência Abrigo - Custeio,405900.00
4172299020000000000,CRAS ESTADO - Custeio,63600.00
4172299030000000000,CREAS ESTADO - Custeio,15600.00
4172299040000000000,"Recurso Medicamento,Diabete,Asma e Renite - Estadu",30300.00
4172299050000000000,Recursos Farmácia Básica - Estadual,279840.00
4172299060000000000,Recurso Centro de Especialidades Odontológicas - E,51000.00
4172299070000000000,Recurso da Média e Alta Complexidade Ambulatorial,584135.00
4172299100000000000,Recurso NASF - Estadual,36000.00
4176101000000000000,Transf. de Conv. da União para o SUS,60852.00
4176201000000000000,Transf. Conv. Estados p/ SUS,60852.00
4191910000000000000,Multas Previstas na Legislação Sanitária,14400.00
4199099000000000000,Outras Receitas,14400.00
4247101010000000000,Transferência de Convênio para SUS - União - Vigilância em Saúde,55768.00
4247199010000000000,Outras Transf. de Conv. da União - Vig.em Saúde,55767.98
4247199020000000000,Outras Transf. de Conv. da União - Atenção Básica,55767.98
4247199030000000000,Outras Transferências de Convênios da União,55767.98
4247199040000000000,Outras Transf. de Conv. da União - Assit. Farm.Bás,55767.98
4247199050000000000,Outras Transf. de Conv. da União - Gestão do SUS,55663.34
4247199060000000000,Outras Transf. de Conv. da União - SUS União,3650915.99
4247201000000000000,Transf. de Convênio p/ SUS,2164008.00
4247299000000000000,Outras Transferências de Convênio dos Estados,503520.00
4132501210000000000,Rec. de Rem. de Dep. Bancário - Rec. Vinculado,7200.00
4132501990500000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Operações de Crédito,7200.00
4132501990600000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Estado,7200.00
4132501990700000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Outros,7200.00
4132502990100000000,Remun. de Outros Depósitos de Recursos não Vinculados - ORDINÁRIOS,7200.00
4132502990500000000,Rec. de Rem. de  Dep. Bancários - Recursos não Vinculados - Ordinários - Diretamente Arracadados,7200.00
4173000000000000000,Transferências de Instituições Privadas,30000.00
4175000000000000000,Transf. de Pessoas,14400.00
4176199000000000000,Outras Transferências de Convênios da União,14400.00
4176299000000000000,Outras Transferências de Convênio dos Estados,14400.00
4199099000000000000,Outras Receitas,14400.00
4111202000000000000,Imposto s/ Propriedade Predial e Territ. Urbana,7223640.66
4111202000000000000,Imposto s/ Propriedade Predial e Territ. Urbana,3679967.88
4111202000000000000,Imposto s/ Propriedade Predial e Territ. Urbana,2725902.14
4111204310000000000,IRRF s/ os Rendimentos do Trabalho,1696000.00
4111204310000000000,IRRF s/ os Rendimentos do Trabalho,864000.00
4111204310000000000,IRRF s/ os Rendimentos do Trabalho,640000.00
4111204340000000000,IRRF s/ Outros Rendimentos,106000.00
4111204340000000000,IRRF s/ Outros Rendimentos,54000.00
4111204340000000000,IRRF s/ Outros Rendimentos,40000.00
4111208000000000000,ITBI e de Direitos Reais sobre Imóveis,3082144.71
4111208000000000000,ITBI e de Direitos Reais sobre Imóveis,1570149.19
4111208000000000000,ITBI e de Direitos Reais sobre Imóveis,1163073.48
4111305010000000000,Imposto sobre Serviços de Qualquer Natureza,13110301.37
4111305010000000000,Imposto sobre Serviços de Qualquer Natureza,6678832.77
4111305010000000000,Imposto sobre Serviços de Qualquer Natureza,4947283.53
4112125000000000000,Tx de Funcionamento Estab Comer/Indús/P.Serviços,1152460.00
4112129000000000000,Taxa de Licença para Execução de Obras,270000.00
4112299000000000000,Outras Taxas pela Prestação de Serviços,640000.00
4113004000000000000,Contrib p/ Pavimentação e Obras Complementares,749751.00
4123000000000000000,CONTRIB P/CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,4500000.00
4132501020000000000,Registro inexistente necessário,142800.00
4132501020000000000,Registro inexistente necessário,27200.00
4132501050100000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE  - Sal. Educação,56700.00
4132501050200000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - PNATE,5325.00
4132501050300000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - Conv. Estado,5325.00
4132501050500000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - Convênio União,56700.00
4132501050600000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - PNAE,11342.00
4132501050700000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - PDDE,5325.00
4132501990100000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - CIDE,5325.00
4132501990300000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Convênios Estado,56700.00
4132501990400000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Convênios União,56700.00
4132502990100000000,Remun. de Outros Depósitos de Recursos não Vinculados - ORDINÁRIOS,226845.00
4132502990200000000,Remun. de Outros Depósitos de Recursos não Vinculados - COSIP,56700.00
4132502990300000000,Remun. de Outros Depósitos de Recursos não Vinculados - SESAN,56700.00
4133901000000000000,Regularização de Construções Irregulares e Clandestinas - Lei Complementar nº 223/2014,20000.00
4160013010000000000,Serviços de Inscrição em Concursos Públicos,10650.00
4160013990000000000,Outros Serviços Administrativos,532500.00
4160017000000000000,Serviços Agropecuários,11342.00
4160041000000000000,Serv. de Captação/Adução/Trat/Res e Dist. de Água,16890000.00
4160046000000000000,Serviços de Cemitérios,11342.00
4160099000000000000,Outros Serviços,11342.00
4172101020000000000,Cota-Parte do Fundo de Participação dos Municípios,13554750.00
4172101020000000000,Cota-Parte do Fundo de Participação dos Municípios,6905250.00
