orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,16800000.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,3596885.07
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,836600.00
2,PREFEITURA MUNICIPAL,3,Secretaria de Articulação Interinstitucional -SEAI,3422389.72
2,PREFEITURA MUNICIPAL,5,Secretaria de Comunicação  SECOM,4486113.00
2,PREFEITURA MUNICIPAL,6,Secretaria Municipal de Governo,2574000.00
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,11442041.42
2,PREFEITURA MUNICIPAL,8,"Secretaria de Planejamento, Adm e Finanças - SEPAF",55730034.83
2,PREFEITURA MUNICIPAL,9,Secretaria Municipal de Finanças,42100000.00
2,PREFEITURA MUNICIPAL,11,Secretaria de Inclusão e Desenv Social - SEIDES,17430000.00
2,PREFEITURA MUNICIPAL,12,Secretaria de Educação - SED,379432462.10
2,PREFEITURA MUNICIPAL,13,Secretaria de Agricultura e Pesca  SEAP,4300855.45
2,PREFEITURA MUNICIPAL,14,Secretaria de Segurança  SESEG,6873192.10
2,PREFEITURA MUNICIPAL,15,Secretaria de Turismo  SETUR,10759126.00
2,PREFEITURA MUNICIPAL,16,Secretaria de Infraestrutura - SEINFRA,124065858.66
2,PREFEITURA MUNICIPAL,17,Secretaria de Gestão e Controle - SGC,3195500.00
2,PREFEITURA MUNICIPAL,18,"Secretaria de Desenv., Econômico e Receita - SDER",9661654.93
2,PREFEITURA MUNICIPAL,20,"Secretaria de Planejamento, Mob e Hab. - SEPLAN",6782480.85
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico - SESAN,96169471.53
2,PREFEITURA MUNICIPAL,22,Secretaria de Proteção e Cuidado Animal - SPCA,3410000.00
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,3148817.27
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,17692047.23
5,FUNDO MUNICIPAL DE SAÚDE,1,Secretaria da Saúde - SESA,164734316.49
6,FUNDAÇÃO CULTURAL DE NAVEGANTES,1,Fundação Cultural de Navegantes (FCN),6749883.84
7,FUNDO DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo dos Direitos da Criança e Adolescente,3696355.00
8,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Fundação Hospitalar de Navegantes,103000.00
9,INSTITUTO AMBIENTAL DE NAVEGANTES - IAN,1,Instituto Ambiental de Navegantes - IAN,4274000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,2291000.00
12,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÂNSITO,1,Fundação Municipal de Vigilância e Trânsito,13826000.00
13,INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES MUN,1,Instituto de Previdência Social dos Servidores Mun,57005000.00
