orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,8720000.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,1587000.00
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,749990.00
2,PREFEITURA MUNICIPAL,5,Secretaria de Comunicação  SECOM,2398666.67
2,PREFEITURA MUNICIPAL,6,Secretaria Municipal de Governo,2976341.34
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,9107000.00
2,PREFEITURA MUNICIPAL,8,"Secretaria de Planejamento, Adm e Finanças - SEPAF",25345116.00
2,PREFEITURA MUNICIPAL,9,Secretaria Municipal de Finanças,24563298.38
2,PREFEITURA MUNICIPAL,11,Secretaria de Inclusão e Desenv Social - SEIDES,12142001.05
2,PREFEITURA MUNICIPAL,12,Secretaria de Educação - SED,266504543.35
2,PREFEITURA MUNICIPAL,13,Secretaria de Agricultura e Pesca  SEAP,4630683.83
2,PREFEITURA MUNICIPAL,14,Secretaria de Segurança  SESEG,5762122.26
2,PREFEITURA MUNICIPAL,15,Secretaria de Turismo  SETUR,7230118.58
2,PREFEITURA MUNICIPAL,16,Secretaria de Infraestrutura - SEINFRA,166877589.62
2,PREFEITURA MUNICIPAL,17,Secretaria de Gestão e Controle - SGC,2055000.00
2,PREFEITURA MUNICIPAL,18,"Secretaria de Desenv., Econômico e Receita - SDER",7214000.00
2,PREFEITURA MUNICIPAL,20,"Secretaria de Planejamento, Mob e Hab. - SEPLAN",4063000.00
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico - SESAN,56113044.18
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,2809374.21
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,6302484.32
5,FUNDO MUNICIPAL DE SAÚDE,1,Secretaria da Saúde - SESA,115167004.45
6,FUNDAÇÃO CULTURAL DE NAVEGANTES,1,Fundação Cultural de Navegantes (FCN),4051872.16
7,FUNDO DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo dos Direitos da Criança e Adolescente,1560000.00
8,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Fundação Hospitalar de Navegantes,1003000.00
9,INSTITUTO AMBIENTAL DE NAVEGANTES - IAN,1,Instituto Ambiental de Navegantes - IAN,2428800.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,2155850.24
12,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÂNSITO,1,Fundação Municipal de Vigilância e Trânsito,9996000.00
13,INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES MUN,1,Instituto de Previdência Social dos Servidores Mun,44527900.00
