contaCodigo,contaDescricao,valorArrecadado
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,14078680.68
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,2338641.75
4111801110000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,20140503.39
4111801120000000000,Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,188684.92
4111801130000000000,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,6047404.94
4111801140000000000,Dívida Ativa - Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,1875987.25
4111801410000000000,Imposto sobre Transmissão Inter Vivo de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,16027870.52
4111801420000000000,Multas e Juros - Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis,1067.50
4111801430000000000,Dívida Ativa - Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis,5503.77
4111801440000000000,Multas e Juros da Dívida Ativa - Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis,455.44
4111802310000000000,Imposto sobre Serviços de Qualquer Natureza - Principal,55852076.75
4111802320000000000,Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,302941.69
4111802330000000000,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza,1423821.63
4111802340000000000,Dívida Ativa - Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,298472.49
4112101110100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",2370093.65
4112101110200000000,Taxa de Licença para Execução de Obras,610473.61
4112101110400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",15246.51
4112101110600000000,Taxa de Regularizaçao de Imoveis,271347.69
4112201110100000000,Taxas pela Prestação de Serviços - Expediente,233447.60
4112201110200000000,Taxas de Fiscalização de Anúncios,59.83
4112201110400000000,Taxa pela Prestação de Serviços de Resíduos Sólidos,10677925.93
4112201119900000000,Outras Taxas pela Prestação de Serviços,562433.82
4112801110100000000,Taxa de Fiscalização de Vigilância Sanitária,717306.54
4121801110000000000,CPSSS do Servidor Civil Ativo - Principal,17616620.74
4121801210000000000,CPSSS do Servidor Civil Inativo - Principal,447310.53
4121801310000000000,CPSSS do Servidor Civil - Pensionistas - Principal,32963.69
