orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,17800000.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,3200000.00
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,800000.00
2,PREFEITURA MUNICIPAL,3,Secretaria de Articulação Interinstitucional -SEAI,1640000.00
2,PREFEITURA MUNICIPAL,5,Secretaria de Comunicação  SECOM,3100000.00
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,11250000.00
2,PREFEITURA MUNICIPAL,8,"Secretaria de Planejamento, Adm e Finanças - SEPAF",75499000.00
2,PREFEITURA MUNICIPAL,11,Secretaria de Inclusão e Desenv Social - SEIDES,12629960.00
2,PREFEITURA MUNICIPAL,12,Secretaria de Educação - SED,327179000.00
2,PREFEITURA MUNICIPAL,13,Secretaria de Agricultura e Pesca  SEAP,3440000.00
2,PREFEITURA MUNICIPAL,14,Secretaria de Segurança  SESEG,8600000.00
2,PREFEITURA MUNICIPAL,15,Secretaria de Turismo  SETUR,7500000.00
2,PREFEITURA MUNICIPAL,16,Secretaria de Infraestrutura - SEINFRA,98762777.66
2,PREFEITURA MUNICIPAL,17,Secretaria de Gestão e Controle - SGC,3200000.00
2,PREFEITURA MUNICIPAL,18,"Secretaria de Desenv., Econômico e Receita - SDER",8700000.00
2,PREFEITURA MUNICIPAL,20,"Secretaria de Planejamento, Mob e Hab. - SEPLAN",6300000.00
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico - SASAN,73280000.00
2,PREFEITURA MUNICIPAL,22,Secretaria de Proteção e Cuidado Animal - SPCA,3960000.00
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,1391000.00
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,10200000.00
5,FUNDO MUNICIPAL DE SAÚDE,1,Secretaria da Saúde - SESA,134753000.00
6,FUNDAÇÃO CULTURAL DE NAVEGANTES,1,Fundação Cultural de Navegantes (FCN),6090000.00
7,FUNDO DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo dos Direitos da Criança e Adolescente,609000.00
8,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Fundação Hospitalar de Navegantes,100000.00
9,INSTITUTO AMBIENTAL DE NAVEGANTES - IAN,1,Instituto Ambiental de Navegantes - IAN,3500000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,2100000.00
12,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÂNSITO,1,Fundação Municipal de Vigilância e Trânsito,12780000.00
13,INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES MUN,1,Instituto de Previdência Social dos Servidores Mun,73669000.00
