orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,11650000.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,2949753.86
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,864100.00
2,PREFEITURA MUNICIPAL,5,Secretaria de Comunicação  SECOM,2650300.00
2,PREFEITURA MUNICIPAL,6,Secretaria Municipal de Governo,2250150.72
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,9355000.00
2,PREFEITURA MUNICIPAL,8,"Secretaria de Planejamento, Adm e Finanças - SEPAF",35589755.12
2,PREFEITURA MUNICIPAL,9,Secretaria Municipal de Finanças,27491500.00
2,PREFEITURA MUNICIPAL,11,Secretaria de Inclusão e Desenv Social - SEIDES,14540155.50
2,PREFEITURA MUNICIPAL,12,Secretaria de Educação - SED,271425563.48
2,PREFEITURA MUNICIPAL,13,Secretaria de Agricultura e Pesca  SEAP,3987732.36
2,PREFEITURA MUNICIPAL,14,Secretaria de Segurança  SESEG,6512172.13
2,PREFEITURA MUNICIPAL,15,Secretaria de Turismo  SETUR,7923040.00
2,PREFEITURA MUNICIPAL,16,Secretaria de Infraestrutura - SEINFRA,103106316.86
2,PREFEITURA MUNICIPAL,17,Secretaria de Gestão e Controle - SGC,2842000.00
2,PREFEITURA MUNICIPAL,18,"Secretaria de Desenv., Econômico e Receita - SDER",8056060.68
2,PREFEITURA MUNICIPAL,20,"Secretaria de Planejamento, Mob e Hab. - SEPLAN",6102700.00
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico - SESAN,69468737.04
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,2981970.00
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,11721251.73
5,FUNDO MUNICIPAL DE SAÚDE,1,Secretaria da Saúde - SESA,146798518.57
6,FUNDAÇÃO CULTURAL DE NAVEGANTES,1,Fundação Cultural de Navegantes (FCN),5827173.14
7,FUNDO DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo dos Direitos da Criança e Adolescente,2260000.00
8,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Fundação Hospitalar de Navegantes,126034.12
9,INSTITUTO AMBIENTAL DE NAVEGANTES - IAN,1,Instituto Ambiental de Navegantes - IAN,3443000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,2353606.13
12,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÂNSITO,1,Fundação Municipal de Vigilância e Trânsito,14632848.31
13,INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES MUN,1,Instituto de Previdência Social dos Servidores Mun,50723000.00
