contaCodigo,contaDescricao,valorArrecadado
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,12227982.20
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,97830.33
4111801110000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,17930212.45
4111801120000000000,Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,117182.11
4111801130000000000,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,2612285.56
4111801140000000000,Dívida Ativa - Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,1338597.58
4111801410000000000,Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,12514813.24
4111801420000000000,Multas e Juros - Imposto sobre Transmissão de Bens Imóveis,1139.28
4111801430000000000,Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis,3602.43
4111801440000000000,Dívida Ativa/Multas e Juros - Imposto sobre Transmissão de Bens Imóveis,1306.56
4111802310000000000,Imposto sobre Serviços de Qualquer Natureza - Principal,43043358.20
4111802320000000000,Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,212819.06
4111802330000000000,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza,435996.41
4111802340000000000,Dívida Ativa - Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,126828.64
4112101110100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1770941.32
4112101110200000000,Taxa de Licença para Execução de Obras,390949.32
4112101110300000000,Taxas de Fiscalizalização de Ocupação e Permanencia Publica,826.15
4112101110400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",15696.89
4112101110600000000,Taxa de Regularização de Imóveis,482001.20
4112201110100000000,Taxas pela Prestação de Serviços - Expediente,190287.22
4112201110200000000,Taxas de Fiscalização de Anúncios,33.08
4112201119900000000,Outras Taxas pela Prestação de Serviços,281558.85
4112801110100000000,Taxa de Fiscalização de Vigilância Sanitária,293786.48
4121801110000000000,CPSSS do Servidor Civil Ativo - Principal,15000121.67
4121801210000000000,CPSSS do Servidor Civil Inativo - Principal,360966.74
4121801310000000000,CPSSS do Servidor Civil - Pensionistas - Principal,27341.76
4124000110000000000,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,7672694.11
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",111926.77
4132100110107000000,Remuneração de Aplicações de Recursos CIDE,13549.03
4132100110108000000,Remuneração de Aplicações de Recursos COSIP,200348.95
4132100110109000000,Remuneração de Aplicações de Recursos FIA Imposto de Renda,48588.21
4132100110111000000,Remuneração de Aplicações de Recursos Convênio Polícia Civil,2339.75
4132100110112000000,Remuneração de Aplicações de Recursos Convênio Trânsito Prefeitura,9293.46
4132100110118000000,Remuneração de Aplicações de Recursos FUNDEB,171848.40
4132100110132000000,Remuneração de Aplicações de Recursos Convênios União Educação,1753.87
4132100110133000000,Aplicação Financeira de Recursos Vinculados União Saúde,978.14
4132100110134000000,Remuneração de Aplicações de Recursos Convênios União Outros,18822.11
4132100110135000000,Remuneração de Aplicações de Recursos do SUAS/União,41117.59
4132100110136000000,Remuneração de Aplicações de Recursos SALARIO EDUCAÇÃO,202695.26
4132100110137010000,Remuneração de Aplicações de Recursos PNATE,741.16
4132100110137020000,Remuneração de Aplicações de Recursos PNAE,26790.27
4132100110137040000,Rem de Dep. Bancários - Outras Transferências do FNDE,0.00
4132100110138010000,Aplicação Financeira Bloco Atenção Básica,184491.42
4132100110138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,45240.64
4132100110138030000,Aplicação Financeira Bloco Vigilância em Saúde,2491.30
4132100110138050000,Aplicação Financeira Bloco Gestão do SUS,16.39
4132100110142000000,Remuneração de Aplicações de Recursos Outras Transferências da União,11.21
4132100110162000000,Remuneração de Aplicações de Recursos Convênios Estado Educação,12171.05
4132100110163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,9556.67
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,4819.90
4132100110165000000,Remuneração de Aplicações de Recursos do SUAS/Estado,12539.55
4132100110167000000,Aplicação Financeira de Recursos Vinculados SUS Estado,25602.96
4132100110179000000,Remuneração de Aplicações de Emendas Parlamentares Impositivas - Transferências do Estado,25690.97
4132100110183000000,Remuneração de Aplicações de Recursos Operações de Crédito,57454.72
4132100110204000000,Remuneração de Aplicações de Recursos SESAN,150761.48
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,34255.16
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,3026002.29
