orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,2156300.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,653000.00
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,1000.00
2,PREFEITURA MUNICIPAL,5,Secretaria de Comunicação  SECOM,149000.00
2,PREFEITURA MUNICIPAL,6,Secretaria Municipal de Governo,170000.00
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,1546000.00
2,PREFEITURA MUNICIPAL,8,"Secretaria de Planejamento, Adm e Finanças - SEPAF",2951000.00
2,PREFEITURA MUNICIPAL,9,Secretaria Municipal de Finanças,11628500.00
2,PREFEITURA MUNICIPAL,11,Secretaria de Inclusão e Desenv Social - SEIDES,1002951.60
2,PREFEITURA MUNICIPAL,12,Secretaria de Educação - SED,152282507.76
2,PREFEITURA MUNICIPAL,13,Secretaria de Agricultura e Pesca  SEAP,1707783.67
2,PREFEITURA MUNICIPAL,14,Secretaria de Segurança  SESEG,668219.12
2,PREFEITURA MUNICIPAL,15,Secretaria de Turismo  SETUR,2228900.00
2,PREFEITURA MUNICIPAL,16,Secretaria de Infraestrutura - SEINFRA,16941859.74
2,PREFEITURA MUNICIPAL,17,Secretaria de Gestão e Controle - SGC,155000.00
2,PREFEITURA MUNICIPAL,18,"Secretaria de Desenv., Econômico e Receita - SDER",1568000.00
2,PREFEITURA MUNICIPAL,20,"Secretaria de Planejamento, Mob e Hab. - SEPLAN",530000.00
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico - SESAN,462750.00
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,1343300.00
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,295000.00
5,FUNDO MUNICIPAL DE SAÚDE,1,Secretaria da Saúde - SESA,14637557.29
6,FUNDAÇÃO CULTURAL DE NAVEGANTES,1,Fundação Cultural de Navegantes (FCN),1321613.46
7,FUNDO DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo dos Direitos da Criança e Adolescente,210000.00
8,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Fundação Hospitalar de Navegantes,33000.00
9,INSTITUTO AMBIENTAL DE NAVEGANTES - IAN,1,Instituto Ambiental de Navegantes - IAN,1490000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,127449.97
12,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÂNSITO,1,Fundação Municipal de Vigilância e Trânsito,1265000.00
13,INSTITUTO DE PREVIDÊNCIA SOCIAL DOS SERVIDORES MUN,1,Instituto de Previdência Social dos Servidores Mun,41781212.00
