contaCodigo,contaDescricao,valorArrecadado
4132101010179000000,Remuneração de Aplicações de Emendas Parlamentares Impositivas - Transferências do Estado,320724.24
4132101010183000000,Remuneração de Aplicações de Recursos Operações de Crédito,6054962.65
4132101010189000000,Remuneração de Aplicações de Alienação de Bens Móveis e Semoventes,31971.80
4132101010190000000,Aplicação Financeira de Recursos de Emenda Parlamentares Individuais,132471.35
4132101010203000000,903 - CAIXA ALIANÇA TP FI RF CURTO PRAZO (Administração),18838.54
4132101010204000000,Remuneração de Aplicações de Recursos SESAN,2169254.04
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,276403.80
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,11359865.34
4132104010101000000,RENDA FIXA - RESIDUAL BETHA,465736.31
4132104010103000000,105 - CAIXA BRASIL IMA-B 5 TP FI R,805449.18
4132104010107000000,110 - SAFRA IMA INSTITUCIONAL FIC R,124060.22
4132104010109000000,114 - SANTANDER ATIVO FIC RF,788675.98
4132104010110000000,123 - BANRISUL AUTOMÁTICO FI RENDA FIXA CURTO PRAZO,461837.24
4132104010114000000, 115 - BB TP VÉRTICE 2027 FI RF PREVIDENCIÁRIO,414184.18
4132104010115000000,116 - BB TP XXI RF PREVIDENCIÁRIO,1065357.25
4132104010116000000,117 - CAIXA BRASIL 2024 IV TP FI RF,97347.98
4132104010117000000,118 - BB TP VÉRTICE 2030 FI RF PREVIDENCIÁRIO,295992.73
4132104010118000000,119 - CAIXA BRASIL 2030 II TÍTULOS PÚBLICOS FI RENDA FIXA,318287.55
4132104010119000000,"120 - BB TÍTULOS PÚBLICOS VÉRTICE 2035 FI RENDA FIXA
PREVIDENCIÁRIO",1325606.09
4132104010120000000,121 - ITAÚ ASSET NTN-B 2027 FI RENDA FIXA,883823.33
4132104010121000000,128 - BB TÍTULOS PÚBLICOS VÉRTICE 2027 II,107269.75
4132104010122000000,129 - CAIXA BRASIL ESPECIAL 2026 FIF RF PREV,201304.42
4132104010123000000,131- SAFRA NTN-B 2026 RF,17810.78
4132104010124000000,"803 - XP NTN-B 760199 2032.08.15 - IPCA+7,836%",658071.22
4132104010125000000,"804 - XP NTN-B 760199 2045.05.15 - IPCA+7,37%  (DÉFICIT ATUARIAL)",352116.22
