contaCodigo,contaDescricao,valorOrcado
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,25000.00
4161103010000000000,"Serviços de registro, certificação e fiscalização - Principal",1250000.00
4171799010000000000,Outras transferências de convênios da união e de suas entidades - Principal,1000.00
4172499010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,1000.00
4191106110000000000,Multas administrativas por danos ambientais - Principal,200000.00
4761103010000000000,"Serviços de registro, certificação e fiscalização - Principal",10000.00
4112201019900000000,Outras Taxas pela Prestação de Serviços,5000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,10000.00
4161101010100000000,Serviços Administrativos e Comerciais Gerais PM Bombeiros,25000.00
4161101019900000000,Outros Serviços Administrativos e Comerciais Gerais,1490000.00
4199999110000000000,Outras receitas administradas pela rfb - Principal,10000.00
4131102010000000000,"Concessão, permissão, autorização ou cessão do direito de uso de bens imóveis públicos - Principal",50000.00
4132101010134000000,Remuneração de Aplicações de Recursos Convênios União Outros,1000.00
4132101010164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,500.00
4171799010000000000,Outras transferências de convênios da união e de suas entidades - Principal,1000.00
4172499010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,1000.00
4192206310000000000,Restituição de despesas primárias de exercícios anteriores - Principal,500.00
4241499010000000000,Outras transferências de convênios da união e de suas entidades - Principal,1000.00
4242299010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,1000.00
4112101010100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1000.00
4131102010000000000,"Concessão, permissão, autorização ou cessão do direito de uso de bens imóveis públicos - Principal",8000.00
4132101010164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4161101019900000000,Outros Serviços Administrativos e Comerciais Gerais,25000.00
4192299010000000000,Outras restituições - Principal,1000.00
4241499010000000000,Outras transferências de convênios da união e de suas entidades - Principal,10000.00
4242299010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,9000.00
4132101010133000000,Aplicação Financeira de Recursos Vinculados União Saúde,1000.00
4132101010138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,1000.00
4132101010163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,1000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4163101010600000000,Serviços de Atendimento à Saúde Outros Serviços de Saúde,9000.00
4171750010000000000,Transferências de convênios da união para o sistema único de saúde - SUS - Principal,5000.00
4172450010000000000,Transferências de convênios dos estados e df para o sistema único de saúde - SUS - Principal,5000.00
4199999110000000000,Outras receitas administradas pela rfb - Principal,9000.00
4132101010131000000,Remuneração de Aplicações de Recursos de Convênios - União/Assistência Social,2000.00
4132101010135000000,Remuneração de Aplicações de Recursos do SUAS/União,15000.00
4132101010161000000,Remuneração de Aplicações de Recursos de Convênios - Estado/Assistência Social,1000.00
4132101010165000000,Remuneração de Aplicações de Recursos do SUAS/Estado,5000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,5000.00
4171650010151000000,Piso Fixo de Média Complexidade - PAEFI,98000.00
4171650010152000000,Piso Fixo de Média Complexidade - MSE,71000.00
4171650010153000000,Piso Fixo de Média Complexidade - ABORDAGEM SOCIAL,71000.00
4171650010154000000,Piso de Transição de Média Complexidade,10000.00
4171650010155000000,Programa do Piso de Alta Complexidade I - Criança/ Adolescente,41000.00
4171650010156000000,Serviço de Convivência e Fortalecimento de Vínculos,130000.00
4171650010157000000,Piso Básico Fixo,345000.00
4171650010158000000,Programa Bolsa Família - IGDBF/SUAS,150000.00
4171650010159000000,Programa IGD/SUAS,14000.00
4171650010160000000,Programa de Ações Estratégicas do Programa de Erradicação do Trabalho Infantil,92000.00
4171752010000000000,Transferências de convênios da união destinadas a programas de assistência social - Principal,19000.00
4172499010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,21000.00
4172951010100000000,Transferências SUAS Estado - Beneficios Eventuais,97000.00
4172951010200000000,Transferências SUAS Estado - Custeio do Abrigo Municipal,50000.00
4172951010300000000,Transferências SUAS Estado - CRAS Custeio,30000.00
4172951010400000000,Transferências SUAS Estado - CREAS Custeio,60000.00
4172951010500000000,Transferencias SUAS Estado - BENEFICIO EVENTUAL VULNERABILIDADE MOMENTANEA ESTADO - CUSTEIO,50000.00
4199999110000000000,Outras receitas administradas pela rfb - Principal,20000.00
4241350010000000000,Transferências de recursos do fundo nacional de assistência social - fnas - Principal,1000.00
4242999011201000000,Transferências SUAS Estado - Abrigo Municipal Investimento,20000.00
4242999011202000000,Transferências SUAS Estado - CREAS Investimento,35000.00
4242999011203000000,Transferências SUAS Estado - CRAS Investimento,20000.00
4242999011299000000,Outras Transferências SUAS Estado Investimento,11000.00
4132101010110000000,Remuneração de Aplicações de Recursos Convênio Polícia Militar,1000.00
4132101010111000000,Remuneração de Aplicações de Recursos Convênio Polícia Civil,1000.00
4132101010112000000,Remuneração de Aplicações de Recursos Convênio Trânsito Prefeitura,1000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,2000.00
4162102010000000000,Serviços de transporte de passageiros ou mercadorias - Principal,990000.00
4169999019900000000,Outros Serviços,1000.00
4191101010600000000,Multas e Penalidades Aplicadas no Transporte Público,1000.00
4191101011000000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Militar,400000.00
4191101011100000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Civil,400000.00
4191101011200000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Prefeitura,1248000.00
4199999110000000000,Outras receitas administradas pela rfb - Principal,7000.00
4791101011000000000,Intra Orçamentárias - Multas Previstas na Legislação Convênio Trânsito - Militar,1000.00
4791101011100000000,Intra Orçamentárias - Multas Previstas na Legislação Convênio Trânsito - Civil,1000.00
4791101011200000000,Intra Orçamentárias - Multas Previstas na Legislação Convênio Trânsito - Prefeitura,1000.00
4112150010100000000,Taxa de fiscalização de vigilância sanitária - Principal,585000.00
4132101010133000000,Aplicação Financeira de Recursos Vinculados União Saúde,1000.00
4132101010138010000,Aplicação Financeira Bloco Atenção Básica,40000.00
4132101010138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,10000.00
4132101010138030000,Aplicação Financeira Bloco Vigilância em Saúde,5000.00
4132101010138040000,Aplicação Financeira Bloco Assistência Farmacêutica,5000.00
4132101010138050000,Aplicação Financeira Bloco Gestão do SUS,1000.00
4132101010163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,5000.00
4132101010167000000,Aplicação Financeira de Recursos Vinculados SUS Estado,10000.00
4132101010179000000,Remuneração de Aplicações de Emendas Parlamentares Impositivas - Transferências do Estado,2000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,5000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,20000.00
4171350110300000000,Atenção Básica - Agentes Comunitários de Saúde,2920000.00
4171350110600000000,Recurso Centro de Atendimento Psicossocial - CAPS,350000.00
4171350111200000000,Atenção Básica - Incentivo Financeiro da ASP - Desempenho,900000.00
4171350111400000000,Atenção Básica - Incentivo Financeiro da APS - Capitacão Ponderada,7442000.00
4171350111500000000,Atenção Básica - Incentivo para Ações Estratégicas,800000.00
4171350210200000000,Serviço de Atendimento Móvel de Urgência - SAMU - Federal,352000.00
4171350210300000000,Recurso da Média e Alta Complexidade Ambulatorial - MAC - Federal,4280000.00
4171350310100000000,Incentivo Financeiro aos Municípios para a Vigilância Em Saúde - Despesas Diversas,920000.00
4171350310200000000,Incentivo Financeiro as Ações de Vigilância e Prevenção e Controle das DST/AIDS e Hepatites Virais,146000.00
4171350310300000000,Incentivo Financeiro aos Municípios para Execução de Ações de Vigilância Sanitária,220000.00
4171350310400000000,Assistência Financeira Complementar aos Municípios para Agentes de Combate as Endemias,100000.00
4171350410100000000,Assistência Farmacêutica e Insumos Estratégicos na Atenção Básica em Saúde,595000.00
4171350510100000000,Transferência de Recursos do SUS - Gestão do SUS,59000.00
4171351110000000000,Transferências de recursos do bloco de estruturação da rede de serviços públicos de saúde - atenção primária - Principal,200000.00
4171351310000000000,Transferências de recursos do bloco de estruturação da rede de serviços públicos de saúde - vigilância em saúde - Principal,200000.00
4171351910100000000,Transferências de Recursos do Bloco de Estruturação da Rede de Serviços Públicos de Saúde - Outros Programas - Principal,100000.00
4172350010100000000,Recursos Piso de Atenção Básica - PAB - Estadual,188000.00
4172350010200000000,Recurso Estratégia Saúde da Família - Estadual,100000.00
4172350010300000000,Recuso Estratégia Saúde Bucal - Estadual,15000.00
4172350010400000000,"Recurso Medicamento, Diabete, Asma e Renite - HIPERDIA - Estadual",30000.00
4172350010500000000,Recurso Farmácia Básica - Estadual,300000.00
4172350010600000000,Recurso Centro de Especialidades Odontológicas - CEO - Estadual,50000.00
4172350010700000000,Recurso da Média e Alta Complexidade Ambulatorial - MAC - Estadual,15000.00
4172350010800000000,Recurso NASF - Estadual,400000.00
4172450010000000000,Transferências de convênios dos estados e df para o sistema único de saúde - SUS - Principal,10000.00
4191101019900000000,Outras Multas Previstas em Legislação Específica - Principal,10000.00
4241450010000000000,Transferências de convênios da união para o sistema único de saúde - SUS - Principal,259000.00
4242999010100000000,Emendas Parlamentares Impositivas - Transferências de Capital do Estado,98000.00
4132101010109000000,Remuneração de Aplicações de Recursos FIA Imposto de Renda,1000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4174101010000010000,Transferências de Instituições Privadas,130000.00
4179101010000000000,Transferências de Pessoas Físicas para Órgãos e Entidades da União - Principal,19000.00
