contaCodigo,contaDescricao,valorArrecadado
4111250010000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,22966272.65
4111250020000000000,Multas e Juros de Mora - Imposto sobre a Propriedade Predial e Territorial Urbana,204265.51
4111250030000000000,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,4785875.29
4111250040000000000,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,1847454.43
4111253010000000000,Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,16119360.81
4111253020000000000,Multas e Juros de Mora -  Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,18852.43
4111253030000000000,Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,15820.99
4111253040000000000,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,4433.50
4111301010000000000,Imposto sobre a Renda de Pessoa Física - IRPF - Principal,0.00
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,20044880.15
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,2709210.11
4111451110000000000,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal,73685799.94
4111451120000000000,Multas e Juros de Mora - Imposto sobre Serviços de Qualquer Natureza - ISSQN,497702.12
4111451130000000000,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN,707726.72
4111451140000000000,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN,307022.56
4112101010100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",2480690.53
4112101010200000000,Taxa de Licença para Execução de Obras,762340.73
4112101010400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",21243.46
4112150010100000000,Taxa de Fiscalização de Vigilância Sanitária,431168.95
4112150020000000000,Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros de Mora,1207.40
4112150030000000000,Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa,340.71
4112201010100000000,Taxas pela Prestação de Serviços - Expediente,315927.36
4112201010400000000,Taxa pela Prestação de Serviços de Resíduos Sólidos,16073893.80
4112201019900000000,Outras Taxas pela Prestação de Serviços,411184.71
4121501110000000000,Contribuição do Servidor Civil Ativo - Principal,20798223.24
4121501210000000000,Contribuição do Servidor Civil Inativo - Principal,636159.75
4121501310000000000,Contribuição do Servidor Civil - Pensionistas - Principal,34169.65
4124150010000000000,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,9445387.08
4131102010000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos",175207.96
4131199010000000000,Outras Receitas Imobiliárias - Principal,12070.78
4132101010107000000,Remuneração de Aplicações de Recursos CIDE,16465.30
4132101010108000000,Remuneração de Aplicações de Recursos COSIP,915086.80
4132101010109000000,Remuneração de Aplicações de Recursos FIA Imposto de Renda,345348.05
4132101010111000000,Remuneração de Aplicações de Recursos Convênio Polícia Civil,47861.89
4132101010112000000,Remuneração de Aplicações de Recursos Convênio Trânsito Prefeitura,89676.67
4132101010118000000,Remuneração de Aplicações de Recursos FUNDEB,705571.00
4132101010132000000,Remuneração de Aplicações de Recursos Convênios União Educação,1316.54
4132101010133000000,Aplicação Financeira de Recursos Vinculados União Saúde,2289.21
4132101010134000000,Remuneração de Aplicações de Recursos Convênios União Outros,54458.26
4132101010135000000,Remuneração de Aplicações de Recursos do SUAS/União,212048.12
4132101010136000000,Remuneração de Aplicações de Recursos SALARIO EDUCAÇÃO,529136.62
4132101010138010000,Aplicação Financeira Bloco Atenção Básica,597163.18
4132101010138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,97192.65
4132101010138030000,Aplicação Financeira Bloco Vigilância em Saúde,5494.74
4132101010138050000,Aplicação Financeira Bloco Gestão do SUS,39.75
4132101010138060000,Aplicação SUS Complementação Pagamentos aos Enfermeiros,12931.56
4132101010139000000,Remuneração de Aplicações de Recursos Fundo Especial do Petróleo e Transferências Decorrentes de Compensação Financeira pela Exploração de Recursos Na,360094.40
4132101010143000000,Remuneração de Aplicações de Recursos PNAE,162973.80
4132101010144000000,Remuneração de Aplicações de Recursos PNATE,3918.86
4132101010162000000,Remuneração de Aplicações de Recursos Convênios Estado Educação,27648.16
4132101010163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,21933.55
