contaCodigo,contaDescricao,valorArrecadado
4111303110000000000,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,8485858.17
4111303410000000000,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,86486.80
4111801110000000000,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,14778325.04
4111801120000000000,Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,112713.45
4111801130000000000,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana,6205468.01
4111801140000000000,Dívida Ativa - Multas e Juros - Imposto sobre a Propriedade Predial e Territorial Urbana,998543.58
4111801410000000000,Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,6859974.94
4111801420000000000,Imposto sobre Transmissão de Bens Imóveis - Multas e Juros,4.40
4111801430000000000,Imposto sobre Transmissão de Bens Imóveis - Dívida Ativa,3696.14
4111802310000000000,Imposto sobre Serviços de Qualquer Natureza - Principal,28022392.09
4111802320000000000,Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,169878.58
4111802330000000000,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza,628701.19
4111802340000000000,Dívida Ativa - Multas e Juros - Imposto sobre Serviços de Qualquer Natureza,94258.05
4112101110100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1644538.11
4112101110200000000,Taxa de Licença para Execução de Obras,65394.33
4112101110400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",57573.78
4112201110100000000,Taxas pela Prestação de Serviços - Expediente,35567.13
4112201110200000000,Taxas de Prestação de Serviços - Diversos,31.02
4112201119900000000,Outras Taxas pela Prestação de Serviços,1591855.32
4112801110100000000,Taxa de Fiscalização de Vigilância Sanitária,380801.11
4113804110000000000,Contribuição de Melhoria para Pavimentação e Obras Complementares - Principal,89157.40
4121004210000000000,Contribuição do Servidor Ativo Civil para o RPPS - Principal,10243459.49
4121004310000000000,Contribuição do Servidor Inativo para o RPPS - Principal,161674.94
4121004410000000000,Contribuição do Pensionista para o RPPS - Principal,18197.53
4124000110000000000,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,7065212.62
4131002110000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal",330689.15
4132100110100000000,Remuneração de Depósitos Bancários - Não Vinculados Concurso,202.87
4132100110107000000,Remuneração de Aplicações de Recursos CIDE,8368.17
4132100110108000000,Remuneração de Aplicações de Recursos COSIP,71380.71
4132100110110000000,Remuneração de Aplicações de Recursos Convênio Polícia Militar,3.88
4132100110111000000,Remuneração de Aplicações de Recursos Convênio Polícia Civil,2787.64
4132100110112000000,Remuneração de Aplicações de Recursos Convênio Trânsito Prefeitura,10928.16
4132100110118000000,Remuneração de Aplicações de Recursos FUNDEB,95906.14
4132100110132000000,Remuneração de Aplicações de Recursos Convênios União Educação,15871.05
4132100110133000000,Aplicação Financeira de Recursos Vinculados União Saúde,6219.87
4132100110134000000,Remuneração de Aplicações de Recursos Convênios União Outros,11329.55
4132100110135000000,Remuneração de Aplicações de Recursos do SUAS/União,11047.37
4132100110136000000,Remuneração de Aplicações de Recursos SALARIO EDUCAÇÃO,130526.00
4132100110137010000,Remuneração de Aplicações de Recursos PNATE,204.27
4132100110137020000,Remuneração de Aplicações de Recursos PNAE,13791.41
4132100110137030000,Remuneração de Aplicações de Recursos PDDE,34.05
4132100110137040000,Remuneração de Aplicações de Recursos - FNDE-MP-815/2017,3489.06
4132100110138010000,Aplicação Financeira Bloco Atenção Básica,44989.98
4132100110138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,32272.06
4132100110138030000,Aplicação Financeira Bloco Vigilância em Saúde,3009.39
4132100110138050000,Aplicação Financeira Bloco Gestão do SUS,6.67
4132100110162000000,Remuneração de Aplicações de Recursos Convênios Estado Educação,39890.95
4132100110163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,10259.84
4132100110164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1858.34
4132100110165000000,Remuneração de Aplicações de Recursos do SUAS/Estado,1242.28
4132100110167000000,Aplicação Financeira de Recursos Vinculados SUS Estado,19536.35
4132100110183000000,Remuneração de Aplicações de Recursos Operações de Crédito,2853.84
4132100110204000000,Remuneração de Aplicações de Recursos SESAN,120462.79
4132100110206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,12504.28
4132100110299000000,Remuneração de Aplicações de Recursos não Vinculados,1410603.74
4132100410100000000,Remuneração dos Recursos do  RPPS - Renda Fixa,17797508.47
4132100410200000000,Remuneração dos Recursos do  RPPS - Renda Variavel,18315599.52
4132100410300000000,Remuneração dos Recursos do  RPPS - Fundo Imobiliário,750213.75
4136001110000000000,Cessão do Direito de Operacionalização de Pagamentos - Principal,4710000.00
4161001110200000000,Serviços Agropecuários,58132.49
4161001110300000000,"Serviços de Captação, Adução, Tratamento, Reserva e Distribuição de Água",22869257.24
4161001119900000000,Outros Serviços Administrativos e Comerciais Gerais,8732.02
4161002110000000000,Inscrição em Concursos e Processos Seletivos - Principal,259144.95
4161003110000000000,"Serviços de Registro, Certificação e Fiscalização - Principal",1796844.54
4169099110100000000,Serviços de Cemitério,827.47
4171801210000000000,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,32130949.42
4171801310000000000,Cota-Parte do Fundo de Participação dos Municípios  1% Cota entregue no mês de dezembro - Principal,1417998.22
4171801410000000000,Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho - Principal,1365609.82
4171801510000000000,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,26125.87
4171801810000000000,"Cota-Parte do Imposto Sobre Operações de Crédito, Câmbio e Seguro, ou Relativas a Títulos ou Valores Mobiliários  Comercialização do Ouro - Principal",32398.59
4171802610000000000,Cota-Parte do Fundo Especial do Petróleo  FEP - Principal,495070.48
4171803110100000000,Recurso Piso de Atenção Básica - PAB Fixo - Federal,1799136.00
4171803110200000000,Recurso Estratégia Saúde da Família - Federal,895022.76
4171803110300000000,Recurso Programa Agente Comunitário de Saúde - PACS - Federal,929102.00
4171803110400000000,Recurso Estratégia Saúde Bucal - Federal,307740.00
4171803110500000000,Recurso do Núcleo de Apoio á Saúde da Família - NASF - Federal,220000.00
4171803110600000000,Recurso Centro de Atendimento Psicossocial - CAPS,339660.00
4171803110700000000,Centro de Especialidades Odontológicas - CEO - Federal,145200.00
4171803110800000000,Programa de Melhoria do Acesso e da Qualidade - PMAQ,581322.95
4171803111000000000,Programa de Financiamento das Ações de Alimentação e Nutrição,26000.00
4171803111100000000,Recurso Piso de Atenção Básica - PAB Variável - Federal,140638.78
4171803210100000000,Transferêcia de Recursos SUS - Hospital,12514.86
4171803210200000000,Serviço de Atendimento Móvel de Urgência - SAMU - Federal,263028.00
4171803210300000000,Recurso da Média e Alta Complexidade Ambulatorial - MAC - Federal,3286550.97
4171803210400000000,Leitos de Enfermaria Clinica de Retaguarda - MAC - Federal,310250.04
4171803310100000000,Recurso Vigilância Epidemiológica - Federal,273929.11
4171803310200000000,Incentivo Programa Nacional de HIV/AIDS e DST - Federal,86166.63
4171803310300000000,Recurso da Média e Alta Complexidade Vigilância Sanitária,122571.00
4171803410100000000,Recurso Farmácia Básica - Federal,429499.40
4171805110000000000,Transferências do Salário-Educação - Principal,6367390.93
4171805310000000000,Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar  PNAE - Principal,1864354.00
4171805410000000000,Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar  PNATE - Principal,25327.84
4171808110000000000,Transferências Advindas de Emendas Parlamentares Individuais - Principal,1802114.00
4171812110101000000,Piso de Proteção Social Básica,313797.36
4171812110102000000,Piso de Proteção Especial de Média Cpmplexidade,130497.20
4171812110103000000,Índice de Gestão Descebtralizada - IGD BOLSA FAMÍLIA,89503.90
4171812110107000000,Índice de Gestão Descentralizada - IGDSUAS,2040.84
4171812110111000000,Piso de Alta Complexidade I - Criança/Adolescente,35000.00
4171899120000000000,Outras Transferências da União - LIvre,155266.22
4171899190000000000,Outras Transferências da União - Lei nº 13.885/2019,1680084.06
4172801110000000000,Cota-Parte do ICMS - Principal,55558567.07
4172801210000000000,Cota-Parte do IPVA - Principal,6786364.90
4172801310000000000,Cota-Parte do IPI - Municípios - Principal,713647.78
4172801410000000000,Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal,73076.86
4172803110100000000,Recursos Piso de Atenção Básica - PAB - Estadual,691671.85
4172803110500000000,Recurso Farmácia Básica - Estadual,327814.44
4172803110600000000,Recurso Centro de Especialidades Odontológicas - CEO - Estadual,57985.74
4172803110700000000,Recurso da Média e Alta Complexidade Ambulatorial - MAC - Estadual,55402.80
4172803110800000000,Recurso NASF - Estadual,43303.29
4172807110300000000,Transferências SUAS Estado - CRAS Custeio,41089.98
4172810210000000000,Transferências de Convênio dos Estados Destinadas a Programas de Educação - Principal,530554.95
4174000110000000000,Transferências de Instituições Privadas - Principal,370000.00
4175801110000000000,Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB - Principal,72868249.48
4177000110000000000,Transferências de Pessoas Físicas - Principal,100.00
4191001110000000000,Multas Previstas em Legislação Específica - Principal,3996.00
4191001111000000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Militar,285990.51
4191001111100000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Civil,285990.30
4191001111200000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Prefeitura,1335415.93
4191006110000000000,Multas Administrativas por Danos Ambientais - Principal,25609.92
4191007110000000000,Multas Aplicadas pelos Tribunais de Contas - Principal,686.00
4192206110000000000,Restituição de Despesas de Exercícios Anteriores - Principal,4440.27
4192299110000000000,Outras Restituições - Principal,8333.75
4199003110000000000,Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores - Principal,3259253.40
4199012210000000000,Ônus de Sucumbência - Principal,571565.41
4199099110000000000,Outras Receitas - Primárias - Principal,151921.10
4199099120000000000,Outras Receitas - Primárias - Multas e Juros,7300.12
4199099130000000000,Outras Receitas - Primárias - Dívida Ativa,228703.04
4199099140000000000,Outras Receitas - Primárias - Dívida Ativa - Multas e Juros,48040.27
4211200110000000000,Operações de Crédito Contratuais - Mercado Interno - Principal,3166666.66
4241804110000000000,Transferências de Recursos do Sistema Único de Saúde  SUS destinados à Atenção Básica - Principal,54000.00
4241810210000000000,Transferências de Convênio da União destinadas a Programas de Educação - Principal,1166186.82
4241810910000000000,Outras Transferências de Convênios da União - Principal,573692.06
4241899110000000000,Outras Transferências da União - Principal,170000.00
4242899111202000000,Transferências SUAS Estado - CREAS Investimento,41666.67
4242899111203000000,Transferências SUAS Estado - CRAS Investimento,17609.99
4721004210000000000,Contribuição Patronal para o RPPS - Ativos,17281931.33
4721004310000000000,Contribuição Patronal para o RPPS - Inativos,1743090.51
4721004410000000000,Contribuição Patronal para o RPPS - Pensionistas,391556.78
4761001110300000000,"Receitas Intra-Orçamentárias/Serviços de Captação,Adução,Tratamento...",418885.66
4791001111000000000,Intra Orçamentárias - Multas Previstas na Legislação Convênio Trânsito - Militar,1154.31
4791001111100000000,Intra Orçamentárias - Multas Previstas na Legislação Convênio Trânsito - Civil,1154.32
4791001111200000000,Intra Orçamentárias - Multas Previstas na Legislação Convênio Trânsito - Prefeitura,5386.79
9111303110000000000,Imposto sobra a Renda - Retido na Fonte - Trabalho,-1273.27
9111801110000000000,(R)Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,-9028.49
9111801130000000000,(R)Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa,-607.23
9111801410000000000,(R)Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,-138268.20
9111802310000000000,(R)Imposto sobre Serviços de Qualquer Natureza - Principal,-67327.54
9112201119900000000,Dedução - Outras Taxas Pela prestação de Serviços,-1082.22
9132100110132000000,Deduções da Receita - Remuneração de Aplicações de Recursos Convênios União Educação,-11661.82
9132100110133000000,Aplicação Financeira de Recursos Vinculados União Saúde,-3259.82
9132100110134000000,DEDUÇÕES - REM. DE APLICAÇÕES DE RECURSOS DE CONVÊNIOS,-4827.85
9132100110164000000,Devolução Remuneração de Aplicações de Recursos Convênios Estado Outros,-1825.44
9132100110165000000,(R) Deduções da Receita - Remuneração de Aplicações de Recursos do SUAS/Estado,-66.06
9132100110299000000,Remuneração de Aplicações de Recursos Não Vinculados,-44309.45
9132100410100000000,REMUNERAÇÃO DOS RECURSOS DO RPPS - RENDA FIXA,-1739375.79
9132100410200000000,Remuneração dos Recursos do RPPS - Renda Variável,-1369446.44
9132100410300000000,Remuneração dos Recursos do RPPS - Fundo Imobiliário,-70930.12
9161003110000000000,"Devoluções da Receita - Serviços de Registro, Certificação e Fiscalização - Principal",-197.02
9171801210000000000,(R)Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,-6426189.62
9171801510000000000,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,-5225.11
