contaCodigo,contaDescricao,valorOrcado
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,15000.00
4161103010000000000,Serviços de Registro,900000.00
4171799010000000000,Outras Transferências de Convênios da União e de Suas Entidades - Principal,1000.00
4172499010000000000,Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal,1000.00
4191106110000000000,Multas Administrativas por Danos Ambientais - Principal,200000.00
4761103010000000000,Serviços de Registro,10000.00
4112201019900000000,Outras Taxas pela Prestação de Serviços,5000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,10000.00
4161101010100000000,Serviços Administrativos e Comerciais Gerais PM Bombeiros,25000.00
4161103010000000000,Serviços de Registro,1170000.00
4199999110000000000,Outras Receitas Administradas pela RFB - Principal,10000.00
4131102010000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos",5000.00
4132101010134000000,Remuneração de Aplicações de Recursos Convênios União Outros,1000.00
4132101010164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,500.00
4171799010000000000,Outras Transferências de Convênios da União e de Suas Entidades - Principal,1000.00
4172499010000000000,Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal,1000.00
4192206310000000000,Restituição de Despesas Primárias de Exercícios Anteriores - Principal,500.00
4241499010000000000,Outras Transferências de Convênios da União e de Suas Entidades - Principal,1000.00
4242299010000000000,Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal,1000.00
4112101010100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",1000.00
4131102010000000000,"Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos",8000.00
4132101010164000000,Remuneração de Aplicações de Recursos Convênios Estado Outros,1000.00
4132101010206000000,Remuneração de Aplicações de Recursos Diretamente Arrecadados pela Administração Indireta e Fundos,1000.00
4132101010299000000,Remuneração de Aplicações de Recursos não Vinculados,1000.00
4161101019900000000,Outros Serviços Administrativos e Comerciais Gerais,25000.00
4192299010000000000,Outras Restituições - Principal,1000.00
4241499010000000000,Outras Transferências de Convênios da União e de Suas Entidades - Principal,10000.00
4242299010000000000,Outras Transferências de Convênios dos Estados e DF e de Suas Entidades - Principal,9000.00
4132101010133000000,Aplicação Financeira de Recursos Vinculados União Saúde,1000.00
4132101010138020000,Aplicação Financeira Bloco Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar,1000.00
4132101010163000000,Aplicação Financeira de Recursos Vinculados Estado Saúde,1000.00
