contaCodigo,contaDescricao,valorArrecadado
4111202000000000000,Imposto s/ Propriedade Predial e Territ. Urbana,9912368.56
4111204310000000000,IRRF s/ os Rendimentos do Trabalho,3788582.45
4111204340000000000,IRRF s/ Outros Rendimentos,203834.40
4111208000000000000,ITBI e de Direitos Reais sobre Imóveis,6868716.33
4111305000000000000,Imposto sobre Serviços de Qualquer Natureza,24343857.97
4112117000000000000,Taxa de Fiscalização de Vigilância Sanitária,309365.44
4112125000000000000,Tx de Funcionamento Estab Comer/Indús/P.Serviços,1028429.58
4112129000000000000,Taxa de Licença para Execução de Obras,250785.55
4112299000000000000,Outras Taxas pela Prestação de Serviços,593088.85
4113004000000000000,Contrib p/ Pavimentação e Obras Complementares,162361.03
4121029070000000000,Contrib de Servidor Ativo para o RPPS,6813897.41
4121029090000000000,Contribuições de Servidor Inativo para o RPPS,32134.33
4121029110000000000,Contribuições de Pensionista para o RPPS,11835.29
4123000000000000000,CONTRIB P/CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,5136040.93
4132501020000000000,Rec. de Remun. Dep. Banc. Rec. Vinc.- FUNDEB,154546.38
4132501030100000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Atenção Bás,19197.83
4132501030200000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Atenção de,28581.98
4132501030300000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Vigilância,42990.35
4132501030400000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Assistência,4658.37
4132501030500000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Gestão do S,3195.70
4132501030600000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - SUS União,62303.75
4132501030700000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - SUS Estado,75760.11
4132501030800000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Recurso Pró,5793.00
4132501050100000000,Rec. de Rem. Dep. Banc. REc. Vinc. - MDE - Sal. Ed,158829.39
4132501050200000000,Rec. de Rem. Dep. Banc. REc. Vinc. - MDE - PNATE,520.93
4132501050300000000,Rec. de Rem. Dep. Banc. REc. Vinc. - MDE - Conv. E,2589.61
4132501050500000000,Rec. de Rem. Dep. Banc. REc. Vinc. - MDE - Conv. U,155690.35
4132501050600000000,Rec. de Rem. Dep. Banc. REc. Vinc. - MDE - PNAE,56519.35
4132501050700000000,Rec. de Rem. Dep. Banc. Rec. Vinculados - MDE - PDDE,46.77
4132501060000000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - ASPS,10219.34
4132501100000000000,Rec de Remun Dep Banc Rec Vinculado - FNAS,42893.63
4132501110000000000,Rec. de Remun Dep Banc Rec Vinculado - PETI,1298.78
4132501160000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio do,24038.98
4132501180000000000,Rec. de Remun Dep Banc Rec Vinculado - Diretamente arrecadado,73140.17
4132501190000000000,Rec. de Remun Dep Banc Rec Vinculado - SUAS/ESTADO,6038.96
4132501200000000000,Rec. de Remun Dep Banc Rec Vinculado - SUS ESTADO,11753.75
4132501990100000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - CI,2679.69
4132501990300000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Re,72601.65
4132501990400000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Re,67564.21
4132501990500000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Co,3614.58
4132501990600000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Es,8390.04
4132501990900000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Po,7400.19
4132501991000000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Po,31290.40
4132501991100000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - PM,8537.52
4132501991200000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Taxa de Administração,178464.29
4132502990100000000,Remun. de Outros Depósitos de Rec. não Vinc. - ORD,929649.90
4132502990200000000,Remun. de Outros Depósitos de Rec. não Vinc. - COS,171036.93
4132502990300000000,Remun. de Outros Depósitos de Rec. não Vinc. - DAE,84643.37
4132502990400000000,Remun. de Outros Depósitos de Rec. não Vinc. - Rec,11503.08
