orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,6454998.00
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,1834600.00
2,PREFEITURA MUNICIPAL,2,Gabinete do Vice Prefeito,509500.00
2,PREFEITURA MUNICIPAL,5,Secretaria Municipal de Comunicação Social,1227000.00
2,PREFEITURA MUNICIPAL,6,Secretaria Municipal de Governo,1082000.00
2,PREFEITURA MUNICIPAL,7,Procuradoria Geral do Município,3025000.00
2,PREFEITURA MUNICIPAL,8,Secretaria Municipal de Administração e Logística,10604773.24
2,PREFEITURA MUNICIPAL,9,Secretaria Municipal de Finanças,12743609.93
2,PREFEITURA MUNICIPAL,11,Secretaria Municipal de Assistência Social,7997492.71
2,PREFEITURA MUNICIPAL,12,Secretaria Municipal de Educação,145611089.75
2,PREFEITURA MUNICIPAL,13,"Secretaria de Meio Ambiente, Agricultura e Pesca",2418600.00
2,PREFEITURA MUNICIPAL,14,Secretaria Municipal da Segurança e Defesa Social,2243790.00
2,PREFEITURA MUNICIPAL,15,"Secretaria Municipal de Turismo, Cultura e Esporte",2697391.00
2,PREFEITURA MUNICIPAL,16,Secretaria Municipal de Obras,57696397.99
2,PREFEITURA MUNICIPAL,17,Secretaria Municipal de Gestão e Controle,1007000.00
2,PREFEITURA MUNICIPAL,18,"Secretaria Municipal de Desenv,Econômico e Receita",4774200.00
2,PREFEITURA MUNICIPAL,19,"Secretaria Municipal da Criança, Adoles. e Juventu",1018000.00
2,PREFEITURA MUNICIPAL,20,Secretaria Municipal de Planejamento Urbano,2662900.00
2,PREFEITURA MUNICIPAL,21,Secretaria Municipal de Saneamento Básico,29918790.00
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,2237200.00
4,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Fundação Municipal de Esportes,2589340.00
5,FUNDO MUNICIPAL DE SAÚDE,1,Fundo Municipal de Saúde,72454341.42
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,1,Fundação Municipal de Cultura,3558038.69
7,SECRETARIA MUNICIPAL DE GOVERNO,1,Fundo dos Direitos da Criança e Adolescente,324000.00
8,PROCURADORIA GERAL DO MUNICÍPIO,1,Procuradoria Geral do Município,1972773.24
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,1,Instituto Ambiental de Navegantes - IAN,1781000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,1073192.25
12,SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundação Municipal de Vigilância e Trânsito,3616000.00
13,SECRETARIA DA EDUCAÇÃO,1,Instituto de Previdência Social dos Servidores Mun,39494264.23
