contaCodigo,contaDescricao,valorArrecadado
4111202000000000000,Imposto s/ Propriedade Predial e Territ. Urbana,11727009.00
4111204310000000000,IRRF s/ os Rendimentos do Trabalho,5197085.18
4111204340000000000,IRRF s/ Outros Rendimentos,121745.86
4111208000000000000,ITBI e de Direitos Reais sobre Imóveis,5934973.45
4111305010000000000,Imposto sobre Serviços de Qualquer Natureza,25366590.03
4112117000000000000,Taxa de Fiscalização de Vigilância Sanitária,300591.51
4112125000000000000,Tx de Funcionamento Estab Comer/Indús/P.Serviços,1079564.96
4112126000000000000,Taxa de Publicidade Comercial,2000.00
4112129000000000000,Taxa de Licença para Execução de Obras,209498.25
4112299000000000000,Outras Taxas pela Prestação de Serviços,618803.04
4113004000000000000,Contrib p/ Pavimentação e Obras Complementares,101657.55
4121029070000000000,Contrib de Servidor Ativo para o RPPS,8608712.99
4121029090000000000,Contribuições de Servidor Inativo para o RPPS,59210.76
4121029110000000000,Contribuições de Pensionista para o RPPS,13144.30
4123000000000000000,CONTRIB P/CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,5178401.27
4132501020000000000,Registro inexistente necessário,187737.99
4132501030100000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Atenção Bás,55394.55
4132501030200000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Atenção de,31250.61
4132501030300000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Vigilância,51621.17
4132501030400000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Assistência,9172.08
4132501030500000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Gestão do S,3759.98
4132501030600000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - SUS União,59284.83
4132501030700000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - SUS Estado,50412.37
4132501030800000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - Recurso Pró,4620.86
4132501050100000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE  - Sal. Educação,251154.76
4132501050200000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - PNATE,561.72
4132501050300000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - Conv. Estado,4311.99
4132501050500000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - Convênio União,94823.20
4132501050600000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - PNAE,57305.62
4132501050700000000,Rec. Rem. de Dep. Banc. Rec. Vinc. - MDE - PDDE,183.39
4132501060000000000,Rec. de Remun. Dep. Banc. Rec. Vinc. - ASPS,7572.64
4132501100000000000,Rec de Remun Dep Banc Rec Vinculado - FNAS,35329.78
4132501110000000000,Rec. de Remun Dep Banc Rec Vinculado - PETI,715.08
4132501160000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio do,18111.79
4132501180000000000,Rec. de Rem. de Dep. Bancário - Rec. Vinculado - Diretamente Arrecadado,38192.77
4132501190000000000,Rec. de Remun Dep Banc Rec Vinculado - SUAS/ESTADO,3659.63
4132501200000000000,Rec. de Remun Dep Banc Rec Vinculado - SUS ESTADO,26824.55
4132501990100000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - CIDE,9260.21
4132501990300000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Convênios Estado,65452.48
4132501990400000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Convênios União,42152.28
4132501990500000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Operações de Crédito,1750.35
4132501990600000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Estado,2609.38
4132501990900000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Po,5271.89
4132501991000000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - Po,44478.49
4132501991100000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - PM,5896.59
4132501991200000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - TX,308284.80
4132502990100000000,Remun. de Outros Depósitos de Recursos não Vinculados - ORDINÁRIOS,857863.65
4132502990200000000,Remun. de Outros Depósitos de Recursos não Vinculados - COSIP,52188.13
4132502990300000000,Remun. de Outros Depósitos de Recursos não Vinculados - SESAN,230672.97
4132502990400000000,Remun. de Outros Depósitos de Rec. não Vinc. - Ord,6004.05
4132502990500000000,Rec. de Rem. de  Dep. Bancários - Recursos não Vinculados - Ordinários - Diretamente Arracadados,9713.42
4132810000000000000,Remuneração dos Investimentos do RPPS Renda Fixa,9086772.21
4132820000000000000,Remuneração dos Investimentos do RPPS Renda Variáv,1776327.41
4132830000000000000,Remuneração dos Investimentos do RPPS Fundos Imobi,117206.08
4133399000000000000,Outras Rec de Conc e Perm - Dir de Uso de Bens Púb,90650.00
4133901000000000000,Regularização de Construções Irregulares e Clandestinas - Lei Complementar nº 223/2014,40752.01
4160013010000000000,Serviços de Inscrição em Concursos Públicos,157985.93
4160013990000000000,Outros Serviços Administrativos,539261.54
4160014000000000000,Serviços de Inspeção e Fiscalização,1102692.25
4160017000000000000,Serviços Agropecuários,10012.88
4160019000000000000,Serviços Recreativos e Culturais,27248.03
4160041000000000000,Serv. de Captação/Adução/Trat/Res e Dist. de Água,17512122.70
4160046000000000000,Serviços de Cemitérios,2801.92
4160099000000000000,Outros Serviços,2237.85
4172101020000000000,Cota-Parte do Fundo de Participação dos Municípios,29203370.98
4172101030000000000,Cota-Parte Fundo Partic. Munic. - 1% Cota de Dezembro,1212675.25
4172101040000000000,Cota-Parte Fundo Partic. Munic. - 1% Cota de Julho,861810.81
4172101050000000000,Cota-Parte do Imp. s/ a Propr. Territorial Rural,20906.98
4172101320000000000,"Cota-Parte Imp.s/Oper.Crédito, Câmbio e Seguro",93511.08
4172122700000000000,Cota-Parte do Fundo Especial do Petróleo - FEP,245065.40
4172133010000000000,Recurso Piso de Atenção Básica -  PAB Fixo - Feder,2930960.14
4172133020000000000,Recurso Programa Saúde da Familia - PSF - Federal,842441.70
4172133030000000000,Recurso Programa Agente Comunitário de Saúde - PAC,834594.30
4172133050000000000,Recurso Saúde Bucal - PSF ODONTO - Federal,352340.00
4172133070000000000,Recurso Vigilância Epidemiológica - Federal,202524.62
4172133080000000000,Incentivo Programa Nacional de HIV/AIDS e DST - Fe,124770.79
4172133100000000000,Serviço de Atendimento Móvel de Urgência-SAMU-Fed,284947.00
4172133120000000000,Recurso da média e alta complexidade Vigilância Sa,145582.47
4172133160000000000,Recurso da Média e Alta Complexidade Ambulatorial,2596079.00
4172133170000000000,Recurso do Núcleo de Apoio à Saúde da Família - NA,260000.00
4172133180000000000,Recurso Farmácia Básica - Federal,370012.72
4172133290000000000,Recurso Centro de Atendimento Psicossocial - CAPS,339660.00
4172133310000000000,Centro de Especialidades Odontolog - CEO - Federal,171600.00
4172133380000000000,Programa de Melhoria do Acesso e da Qualidade - PMAQ,1137000.00
4172133390000000000,FAEC SAI - Mamografia para Rastreamento,10980.00
4172134010000000000,Piso Básico Fixo - CRAS,164008.09
4172134020000000000,Piso de Transição de Média Complexidade - APAE,5472.90
4172134040000000000,Índice de Gestão Descentralizada - IGD BOLSA,22658.87
4172134070000000000,Transf. FNAS - PFMC2 - Piso Fixo de Média Complexi,64000.00
4172134080000000000,Transf. FNAS - PFMC3 - Piso Fixo de Média Complexi,35200.00
4172134120000000000,Indice de Gestão Descentralizada - IGD SUAS,12459.68
4172134130000000000,Promoção do Acesso ao Mundo do Trabalho - ACESSUAS,33120.00
4172134160000000000,Piso Fixo de Média Complexidade - Abordagem Social,30000.00
4172134170000000000,Piso de Alta Complexidade I - Criança/Adolescente,45000.00
4172134180000000000,Ações Estratégicas do Programa de Erradicação do Trabalho Infantil,90000.00
4172134190000000000,Benefício de Prestação Continuada - Idoso/Portador de deficiencia,3350.00
4172135010000000000,Transferências do Salário-Educação,5313600.32
4172135020000000000,Transferências Diretas do FNDE referentes ao PDDE,1840.00
4172135030000000000,Transferências Diretas do FNDE referentes ao PNAE,1841992.00
4172135040000000000,Transferências Diretas do FNDE referentes ao PNATE,24847.13
4172136000000000000,Transf. Financ. ICMS - Desoner - L.C. Nº 87/96,136432.20
4172199000000000000,Outras Transferências da União,207985.15
4172201010000000000,Cota-Parte do ICMS,34196186.11
4172201020000000000,Cota-Parte do IPVA,4953287.49
4172201040000000000,Cota-Parte do IPI sobre Exportação,488726.91
4172201130000000000,Cota-Parte da Contrib.Interv.no Domínio Econômico,100167.01
4172299010000000000,Transferência Abrigo - Custeio,432650.00
4172299020000000000,CRAS ESTADO - Custeio,21933.47
4172299050000000000,Recursos Farmácia Básica - Estadual,326481.82
4172299060000000000,Recurso Centro de Especialidades Odontológicas - E,61875.00
4172299100000000000,Recurso NASF - Estadual,36000.00
4172401000000000000,Transf. de Recursos do FUNDEB,53739548.47
4176102000000000000,Transf. de Conv. da União Destin. Progr. Educação,330252.86
4176202000000000000,Transf. Conv. Estados Destin Programas de Educação,424561.98
4191138000000000000,Multas/Juros de Mora  s/ o IPTU,47172.29
4191140000000000000,Multas/Juros de Mora s/ o ISS,130936.01
4191199010000000000,Multas e Juros de Mora de Outros Tributos,22841.20
